date,AAL,AAPL,ABBV,ABC,ABT,ADP,AIG,AMD,AMZN,AXP,BAC,BK,BLK,BMY,BSX,BX,C,CAR,CAT,CBOE,CE,CI,CMCSA,CME,CMS,CNC,COO,CRM,CSCO,CVS,CVX,DAL,DD,DE,DFS,DIS,DUK,EA,EBAY,ET,F,FB,FDX,FE,FOX,GD,GE,GIS,GM,GOOG,GS,HD,HON,IBM,ICE,INTC,IP,IT,JNJ,JPM,KEY,KKR,KO,KR,LEA,LLY,LNG,LUV,MA,MAR,MCD,MGM,MO,MS,MSCI,MSFT,NDAQ,NFLX,NKE,NOW,NTRS,OKE,ORCL,PCG,PFE,PG,PM,PNC,POOL,PSA,QCOM,RF,SBUX,SO,T,TGT,TSLA,TSN,UAL,UNH,UPS,USB,V,VZ,WFC,WMT,WY,XOM
2012-01-02,,,,,,,,,,,,,,,,,,,20.0,,0.0,0.0,,,,,50.6782,,,,37.5472,,,0.0,,100.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,100.0,,,0.0,,,0.0,,,,,,,,,40.907,10.9553,,,,,,,,,12.2807
2012-01-03,,15.0997,,83.3333,17.1028,,,,,,15.6198,,0.0,87.8659,,,,,25.5869,,,,,,,,41.3009,,25.7467,,,,,,,29.261,,,,0.0,42.4893,88.7361,,,,,16.6863,,23.5941,50.0,29.7149,88.787,,89.4109,0.0,13.8768,,94.3878,,100.0,,,,66.6924,,100.0,,,,0.0,50.0,11.1814,84.6927,6.4568,15.7983,51.3333,77.8523,14.6199,0.0,,,,,,56.3218,0.0,,,,,,,,,7.6613,0.0,,,35.7657,,,100.0,,14.2857,53.8188,14.2857,,2.2519
2012-01-04,75.0419,56.3951,,66.783,17.3095,47.9782,18.034,57.2778,64.4571,77.0397,34.7575,44.2742,37.2743,0.0,37.6812,,60.3325,,33.0134,61.7303,84.4622,46.8439,0.0,34.7615,,45.9704,48.5289,,41.5568,92.7215,12.2718,90.5618,,,100.0,0.0,62.169,,53.9301,0.0,45.0542,53.7199,,8.3861,,,18.5275,,23.4142,51.0588,48.7224,23.693,44.3366,71.3831,40.498,43.88,78.672,74.6536,0.0,54.2924,66.8584,0.0,50.0,50.0,,100.0,,92.3161,,67.3433,44.549,58.7577,56.782,47.7041,5.8947,65.4085,27.5442,47.3506,0.0,,,,71.8208,41.6216,54.7937,54.9662,50.0,33.5165,0.0,,68.3468,16.5126,60.0551,52.7529,28.847,47.9027,,82.2903,47.1125,0.0,66.7323,61.193,100.0,41.5813,0.0,21.4437,0.0,14.361
2012-01-05,53.3333,60.5574,,43.1752,52.4642,8.6337,88.0108,60.1085,19.9874,65.6233,33.6911,62.6313,65.5319,60.7431,33.2432,0.0,32.1271,0.0,48.1383,0.0,40.9055,5.0222,100.0,32.1064,100.0,34.3247,50.5436,83.628,45.6044,81.7552,11.9532,,85.0199,73.6888,47.0909,59.4157,100.0,93.3835,46.1815,0.0,58.4223,74.3038,,0.0,0.0,83.4197,87.0805,100.0,56.6692,55.0209,41.6515,14.9068,92.2141,56.3174,21.5684,68.3803,50.995,62.8431,0.0,51.4353,63.906,,0.0,67.1642,50.0,74.2938,23.5185,0.0,16.527,80.5305,50.6255,59.5376,38.7614,55.3975,0.0,63.4694,93.3333,46.6167,0.0,100.0,,0.0,41.5229,100.0,72.9805,0.0,0.0,54.1436,0.0,0.0,0.0,95.0707,75.3538,59.8174,31.313,37.6301,,0.0,43.1721,0.0,78.4615,89.293,0.0,51.341,51.3178,28.2662,69.4719,14.4794
2012-01-06,74.375,58.769,,90.0332,50.0,39.9165,69.7269,100.0,52.5774,30.1755,37.7843,0.0,55.1526,73.5146,19.9536,40.0,26.1706,33.3333,11.1111,0.0,70.1007,75.3513,100.0,42.4125,0.0,78.0079,53.4438,92.9187,58.8785,70.3625,7.2084,20.5531,0.0,65.4528,,77.8701,77.2666,100.0,41.6209,0.0,56.8524,87.8596,24.9637,0.0,,100.0,55.9407,0.0,52.2467,59.5208,18.1945,95.6322,94.1791,63.3067,31.2687,55.252,72.0871,60.474,0.0,55.6398,62.7682,0.0,0.0,50.0,,21.7052,100.0,35.6291,,96.596,100.0,100.0,19.2395,41.3233,6.5903,73.1263,37.3434,27.6706,100.0,,,100.0,50.8149,100.0,53.5311,48.005,0.0,82.3529,0.0,0.0,88.3777,31.8182,,59.5043,67.7628,36.2881,,,28.7344,68.75,0.0,76.0074,0.0,36.2199,17.2306,39.2602,,21.1067
2012-01-07,70.9177,40.7895,,,0.0,59.4062,77.8523,92.3788,43.3555,0.0,35.4048,2.2938,72.9412,50.0,0.0,0.0,18.9812,,41.1093,5.9952,100.0,51.4451,58.6374,10.3017,,19.8318,43.4442,,29.5583,84.6154,3.68,24.9406,0.0,69.7297,0.0,66.2202,50.0,,48.6486,0.0,55.2276,81.7019,100.0,38.4416,,100.0,67.1296,93.4579,33.2701,52.4043,14.2696,91.816,10.0313,49.6532,32.2378,40.5093,64.5161,76.6136,37.6458,0.0,65.3896,77.1218,0.0,100.0,,15.5172,39.1786,0.0,45.5189,74.3608,33.3333,100.0,68.6136,40.5053,19.2926,45.2212,17.1128,29.3333,68.4647,,,,24.6997,,68.9172,0.0,0.0,59.2975,,100.0,22.0994,22.4,71.4286,43.4961,39.7501,37.8758,,86.6667,39.6996,,16.1182,86.1185,35.4037,42.944,37.7376,65.4738,0.0,50.8352
2012-01-08,0.0,58.6701,,44.4109,,,,,23.0627,,26.8568,,,,,,25.8213,,56.4444,,100.0,0.0,0.0,,,,31.1363,,0.0,,,16.5992,,,,24.9428,,,,0.0,77.7893,100.0,,100.0,,,,0.0,45.7706,53.3825,,0.0,0.0,33.4471,16.5865,32.8337,,,100.0,52.7434,,,100.0,,,100.0,,0.0,,54.5833,,100.0,54.2668,0.0,54.5977,33.7942,,61.8844,,,,,,,54.5232,0.0,,,,0.0,14.1994,0.0,,100.0,,,,46.134,35.1109,100.0,36.6469,82.1883,,,19.1085,,,11.245
2012-01-09,,,,22.2997,,,,,63.6364,,,,,42.8413,,,33.3333,,,,0.0,0.0,0.0,,,,33.6488,,,,,,,0.0,,,,,,,50.4139,0.0,66.6667,,,,,,0.0,100.0,0.0,100.0,,,0.0,100.0,,0.0,100.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,36.4372,,0.0,,0.0,,,,,12.5341,,,,,24.4091,,75.0,72.9084,,,,,,12.0267
2012-01-10,100.0,65.5903,,33.2188,40.3872,100.0,58.462,64.8148,73.5799,58.6597,35.4836,68.0328,39.1985,29.4105,0.0,100.0,26.6413,57.1429,57.564,0.0,78.9104,9.0634,100.0,10.6135,100.0,85.3863,52.2275,73.0587,0.0,66.5999,0.0,,0.0,75.0369,41.6667,32.4057,74.0219,93.2584,0.0,0.0,62.6301,89.3404,100.0,0.0,100.0,66.8488,48.2824,66.8539,42.4249,57.0813,40.1841,98.3951,37.4684,59.6718,27.8158,63.9023,83.6994,91.169,100.0,26.4134,66.6432,40.051,100.0,47.4886,50.0,41.7391,39.5586,0.0,59.9532,83.1724,71.1755,88.0711,49.2742,35.9355,88.9706,59.9373,47.4545,58.1339,77.5122,100.0,40.1554,,72.4969,0.0,71.4167,100.0,0.0,71.6129,0.0,71.5556,83.4532,77.1134,37.2687,43.0877,68.5871,69.6537,,67.6301,44.6196,76.8612,70.2519,78.8347,36.7397,75.5075,57.638,55.0224,0.0,10.6086
2012-01-11,,59.7858,,62.5465,53.7182,,57.9814,80.9308,58.9323,59.9308,35.1726,44.655,100.0,72.4715,0.0,100.0,47.4055,,92.8422,19.2387,96.4099,5.7361,58.5956,28.0189,,75.7006,55.5285,96.4573,52.6233,89.5907,61.4424,,83.1017,38.4293,100.0,49.9083,0.0,65.7272,25.0836,0.0,47.5026,76.6401,84.887,34.0,100.0,20.9302,68.7025,90.6141,54.5341,76.9102,35.4272,82.954,84.3359,80.7135,25.3897,75.5865,89.6192,79.0478,21.5909,60.2269,63.9777,51.3096,0.0,72.3017,37.4582,36.9971,,0.0,43.6047,70.7806,0.0,92.2667,48.8511,44.5089,0.0,66.6422,0.0,33.2491,72.9335,,93.4694,66.8449,30.8818,29.5159,61.9181,75.6065,39.9351,0.0,0.0,0.0,80.0483,71.7254,90.6494,68.5804,47.931,72.0741,100.0,,41.4257,50.4756,80.9449,86.6626,85.2459,92.7484,84.6835,47.1461,,6.8286
