date,AAL,AAPL,ABBV,ABC,ABT,ADP,AIG,AMD,AMZN,AXP,BAC,BK,BLK,BMY,BSX,BX,C,CAR,CAT,CBOE,CE,CI,CMCSA,CME,CMS,CNC,COO,CRM,CSCO,CVS,CVX,DAL,DD,DE,DFS,DIS,DUK,EA,EBAY,ET,F,FB,FDX,FE,FOX,GD,GE,GIS,GM,GOOG,GS,HD,HON,IBM,ICE,INTC,IP,IT,JNJ,JPM,KEY,KKR,KO,KR,LEA,LLY,LNG,LUV,MA,MAR,MCD,MGM,MO,MS,MSCI,MSFT,NDAQ,NFLX,NKE,NOW,NTRS,OKE,ORCL,PCG,PFE,PG,PM,PNC,POOL,PSA,QCOM,RF,SBUX,SO,T,TGT,TSLA,TSN,UAL,UNH,UPS,USB,V,VZ,WFC,WMT,WY,XOM
2012-01-02,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0
2012-01-03,,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,,,,,37.5,,,,,,,,43.49,,0.0,,,,,,,30.0,,,,0.0,0.0,42.105,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,-33.333,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,37.5,0.0,37.5,0.0,0.0,0.0,,,,,,0.0,37.5,,,,,,,,,0.0,0.0,,,2.632,,,0.0,,0.0,0.0,0.0,,33.333
2012-01-04,0.0,41.667,,44.444,-14.286,0.0,0.0,0.0,0.0,0.0,46.078,0.0,48.214,18.75,0.0,,0.0,,50.0,0.0,37.5,42.857,0.0,0.0,,0.0,56.507,,40.625,0.0,35.714,0.0,,,0.0,-33.333,0.0,,0.0,44.444,25.0,55.208,,0.0,,,47.917,,30.952,33.333,46.97,14.286,0.0,38.889,43.878,36.364,0.0,50.0,0.0,46.341,0.0,0.0,0.0,16.667,,16.667,,0.0,,46.667,33.333,42.857,48.551,64.063,49.432,55.555,16.667,35.714,-20.0,,,,47.619,0.0,44.444,48.148,0.0,0.0,25.0,,0.0,0.0,0.0,0.0,43.333,40.0,,-14.286,47.692,0.0,0.0,30.0,0.0,22.222,0.0,37.5,0.0,43.478
2012-01-05,25.0,45.455,,0.0,33.333,38.889,13.333,-7.692,4.167,-9.091,41.204,16.667,-17.5,-29.412,0.0,0.0,3.03,0.0,0.0,-81.818,11.11,22.222,41.667,34.783,0.0,0.0,49.394,0.0,-59.091,-81.818,43.59,,0.0,41.667,38.889,61.765,-60.0,0.0,48.667,-30.769,46.667,57.52,,-14.286,0.0,0.0,2.564,0.0,46.939,50.407,47.222,9.524,25.0,54.023,29.252,30.769,14.286,46.875,-42.857,16.092,21.212,,38.462,38.888,0.0,11.11,0.0,-33.333,0.0,41.27,33.333,28.571,18.367,38.298,-0.752,61.842,-72.728,53.623,-50.0,0.0,,-33.333,0.0,-20.0,11.112,-29.412,-20.0,25.0,-24.998,0.0,-33.333,19.231,16.667,5.769,50.0,54.167,,-62.5,38.571,0.0,25.0,57.333,38.462,49.383,51.852,48.148,-20.0,38.889
2012-01-06,46.666,45.395,,-33.333,-73.333,57.384,-60.0,-43.75,41.935,-35.714,18.304,-50.0,29.545,27.778,-30.769,32.353,-8.696,-50.0,-76.19,-53.846,55.0,36.111,-10.0,-72.727,25.0,7.408,39.425,0.0,-25.926,-20.0,-14.286,25.0,-53.846,20.0,,40.0,-50.0,16.667,-71.765,38.889,-10.448,31.395,0.0,-33.333,,34.091,38.462,-33.333,28.571,42.553,10.811,35.417,41.668,16.176,19.681,32.813,-5.715,55.714,27.778,26.974,12.5,-33.333,-52.631,6.25,,70.238,0.0,41.668,,32.955,-55.556,-15.789,-13.725,41.333,5.729,43.75,47.5,-12.195,0.0,,,33.333,6.25,38.888,8.333,-25.0,11.11,38.096,-20.0,25.0,46.666,-17.242,,-19.403,33.871,65.678,,,26.25,33.335,-57.142,27.941,-28.571,14.706,36.765,54.412,,20.0
2012-01-07,35.0,12.245,,,-68.75,-23.2,-75.0,-55.556,25.0,-20.0,-14.027,0.0,-13.333,-48.276,-46.667,-87.5,14.474,,39.584,-25.0,-73.684,-10.714,-52.941,0.0,,-22.581,18.991,,-50.0,-75.0,-59.016,-81.25,-29.412,32.143,-75.0,-8.696,25.0,,-77.778,31.111,-35.065,-4.274,35.0,18.75,,-55.882,-77.612,33.333,-34.783,20.0,-4.908,11.111,-11.111,-59.677,9.767,26.25,-4.348,-31.428,38.889,-23.664,21.154,16.665,15.625,20.0,,-62.963,50.0,16.667,-53.846,10.588,35.0,-75.0,-0.524,11.789,1.304,33.333,27.5,11.667,48.0,,,,-32.692,,6.667,16.666,-55.556,20.833,,16.667,8.333,-5.263,-50.0,-39.241,-55.556,-13.265,,41.667,32.251,,50.0,-8.333,-11.111,-46.154,26.25,28.333,-50.0,-50.0
2012-01-08,-64.286,-65.789,,-9.091,,,,,-87.952,,-91.964,,,,,,-92.424,,-54.839,,-70.0,-79.31,-85.714,,,,-75.531,,-80.645,,,-76.471,,,,-70.833,,,,-63.636,-92.308,-80.609,,-64.286,,,,-69.231,-79.021,-79.866,,-85.366,-50.0,-90.476,-96.923,-28.358,,,-78.261,-65.468,,,-82.143,,,-78.571,,-54.545,,-92.208,,-71.429,-75.879,-87.33,-97.368,-61.417,,-78.182,,,,,,,-79.31,-73.077,,,,-75.0,25.0,-52.381,,-87.654,,,,-66.667,-59.94,-20.0,-66.667,-53.846,,,-70.968,,,-72.0
2012-01-09,,,,-73.913,,,,,-92.857,,,,,53.125,,,-95.489,,,,-66.667,-76.667,-83.333,,,,-87.882,,,,,,,-75.0,,,,,,,-69.939,-80.541,-78.572,,,,,,-76.351,-90.728,-75.294,-83.333,,,-92.893,-70.0,,-44.737,-11.111,,,,,,,,,,,,,,-96.5,-75.439,,-93.75,,,,,,0.0,,,-76.667,,-9.091,,-16.667,,,,,-92.683,,,,,-56.695,,-62.5,-89.394,,,,,,-54.717
2012-01-10,-25.001,61.039,,38.776,67.647,-96.032,37.333,40.0,10.714,2.222,17.629,37.895,-11.364,71.104,-68.75,-42.857,46.939,-40.001,55.208,-44.444,63.636,-5.882,-63.158,-58.333,16.665,-18.919,49.141,38.096,-38.235,44.444,-8.333,,-40.0,-21.738,0.0,27.5,20.0,25.0,-89.13,-7.895,46.75,58.881,25.0,25.0,25.0,-31.707,30.159,15.0,50.5,63.301,55.732,47.115,27.777,53.571,45.043,60.156,34.0,57.813,37.5,37.282,13.514,62.5,31.481,46.297,-33.333,-12.5,0.0,68.056,-60.0,7.143,47.222,48.214,37.5,56.821,4.286,68.277,2.778,61.905,66.667,0.0,0.0,,29.167,-66.667,45.833,6.25,22.223,4.0,-14.288,44.444,58.333,65.385,0.0,27.143,50.725,28.889,,41.667,52.096,60.0,66.667,73.517,-9.091,44.643,55.172,50.758,0.0,19.608
2012-01-11,,46.216,,56.25,-24.324,,-12.728,62.879,30.682,-7.693,35.385,-13.043,-48.421,-12.0,-64.705,17.778,41.071,,41.111,53.333,44.445,34.92,28.125,3.333,,31.944,48.958,-46.667,52.083,7.575,-7.229,,22.857,44.643,53.333,68.75,-53.846,18.75,-75.0,40.0,39.583,65.388,-20.0,53.571,16.665,-10.0,42.364,-9.999,41.063,48.501,28.302,64.444,65.079,35.795,27.295,56.508,56.504,46.031,47.727,39.628,26.596,62.353,-2.326,33.929,16.665,-31.429,,-70.834,28.125,24.306,-64.999,51.25,33.333,46.143,23.077,74.609,-28.205,14.167,72.449,,-40.0,57.143,41.559,32.0,45.556,58.585,45.714,-76.0,-12.503,-55.556,78.274,39.428,26.667,50.0,26.84,-17.931,0.0,,50.603,41.668,37.5,70.851,33.334,67.262,33.333,1.299,,2.143
2012-01-12,-22.221,26.852,,-4.255,-4.762,,-11.111,53.896,17.544,-27.586,37.037,-44.0,49.194,-3.571,-61.111,-28.571,41.358,-33.333,-46.429,-53.333,45.556,52.727,-62.5,-34.375,,-12.5,35.559,,15.873,-88.71,60.197,,38.333,-75.0,-25.0,-78.261,11.428,15.0,-28.037,47.863,23.077,44.939,37.037,51.389,,-88.235,1.471,-36.365,2.857,42.903,34.409,-19.54,-65.217,55.848,42.969,63.654,-34.746,56.0,-62.5,36.343,-1.245,-5.263,51.667,-58.974,61.111,-87.324,-70.588,44.643,28.889,17.647,-61.905,76.852,26.17,35.63,11.594,47.46,26.563,-66.355,39.286,,11.112,,28.289,-9.999,45.455,-31.818,28.125,,-11.111,-9.678,-39.241,61.0,46.666,23.188,-11.579,-38.854,0.0,,28.149,-12.499,-75.0,-26.606,-55.319,13.839,41.026,24.167,48.0,7.879
