date,AAL,AAPL,ABBV,ABC,ABT,ADP,AIG,AMD,AMZN,AXP,BAC,BK,BLK,BMY,BSX,BX,C,CAR,CAT,CBOE,CE,CI,CMCSA,CME,CMS,CNC,COO,CRM,CSCO,CVS,CVX,DAL,DD,DE,DFS,DIS,DUK,EA,EBAY,ET,F,FB,FDX,FE,FOX,GD,GE,GIS,GM,GOOG,GS,HD,HON,IBM,ICE,INTC,IP,IT,JNJ,JPM,KEY,KKR,KO,KR,LEA,LLY,LNG,LUV,MA,MAR,MCD,MGM,MO,MS,MSCI,MSFT,NDAQ,NFLX,NKE,NOW,NTRS,OKE,ORCL,PCG,PFE,PG,PM,PNC,POOL,PSA,QCOM,RF,SBUX,SO,T,TGT,TSLA,TSN,UAL,UNH,UPS,USB,V,VZ,WFC,WMT,WY,XOM
2012-01-02,,,,,,,,,,,,,,,,,,,0.0004,,0.0004,0.0004,,,,,0.009,,,,0.0014,,,0.0004,,0.0007,,,,,,0.0011,,,,,,,,,,,,,,,,0.0007,,,,,,,,,,,,,,,,0.0004,,0.0004,,,,,,0.0007,0.0004,,,0.0004,,,0.0004,,,,,,,,,0.0014,0.0065,,,,,,,,,0.0014
2012-01-03,,0.0012,,0.0002,0.001,,,,,,0.001,,0.0002,0.0012,,,,,0.001,,,,,,,,0.0472,,0.0007,,,,,,,0.0012,,,,0.0002,0.0032,0.0047,,,,,0.0002,,0.002,0.0012,0.0005,0.0012,,0.0005,0.0015,0.0007,,0.0002,,0.0007,,,,0.0005,,0.0005,,,,0.0002,0.0002,0.0002,0.0005,0.001,0.0002,0.001,0.001,0.0005,0.0007,,,,,,0.0002,0.001,,,,,,,,,0.0005,0.0002,,,0.0047,,,0.0005,,0.0012,0.001,0.0002,,0.003
2012-01-04,0.0001,0.0015,,0.0005,0.0002,0.0002,0.0006,0.0004,0.0006,0.0006,0.0026,0.0005,0.0014,0.0004,0.0003,,0.0016,,0.0005,0.0005,0.0002,0.0004,0.0002,0.0004,,0.0004,0.0359,,0.0008,0.001,0.0007,0.0003,,,0.0001,0.0001,0.0004,,0.0001,0.0005,0.0013,0.0032,,0.0002,,,0.0012,,0.0011,0.0008,0.0017,0.0004,0.0001,0.0005,0.0025,0.0006,0.0005,0.0003,0.0003,0.0021,0.001,0.0001,0.0002,0.0002,,0.0002,,0.0001,,0.0008,0.0002,0.0004,0.0035,0.0032,0.0044,0.0008,0.0003,0.0004,0.0001,,,,0.0011,0.0002,0.0005,0.0005,0.0002,0.0001,0.0001,,0.0001,0.0004,0.0001,0.0012,0.0008,0.0003,,0.0002,0.0033,0.0001,0.0001,0.0003,0.0002,0.0005,0.0002,0.0002,0.0002,0.0012
2012-01-05,0.0001,0.0025,,0.0002,0.0003,0.0008,0.0007,0.0003,0.0005,0.0005,0.0033,0.0007,0.0005,0.0002,0.0002,0.0003,0.0015,0.0001,0.0002,0.0,0.0001,0.0003,0.0008,0.001,0.0,0.0004,0.0413,0.0001,0.0001,0.0001,0.0012,,0.0005,0.0003,0.0004,0.0008,0.0001,0.0001,0.0034,0.0001,0.003,0.0056,,0.0001,0.0,0.0003,0.0006,0.0002,0.0022,0.0019,0.0027,0.0003,0.0001,0.0013,0.0022,0.0006,0.0006,0.0004,0.0001,0.0013,0.0015,,0.0006,0.0003,0.0001,0.0001,0.0001,0.0,0.0005,0.001,0.0002,0.0003,0.0022,0.0021,0.002,0.0017,0.0,0.001,0.0,0.0,,0.0,0.0005,0.0001,0.0003,0.0001,0.0001,0.0002,0.0,0.0001,0.0,0.0006,0.0001,0.0012,0.0016,0.0007,,0.0,0.0032,0.0,0.0002,0.0011,0.0006,0.0012,0.0008,0.0004,0.0001,0.0012
2012-01-06,0.0002,0.0033,,0.0001,0.0,0.0035,0.0002,0.0001,0.0014,0.0003,0.0025,0.0002,0.001,0.0004,0.0001,0.0007,0.0012,0.0,0.0,0.0001,0.0004,0.0004,0.0004,0.0001,0.0001,0.0004,0.0397,0.0001,0.0002,0.0004,0.0005,0.0004,0.0001,0.0002,,0.0006,0.0001,0.0001,0.0004,0.0004,0.0013,0.0038,0.0001,0.0001,,0.001,0.0011,0.0001,0.0018,0.0021,0.0016,0.0005,0.0002,0.0007,0.0021,0.0007,0.0005,0.0006,0.0003,0.0017,0.0014,0.0,0.0001,0.0002,,0.0018,0.0001,0.0002,,0.001,0.0,0.0002,0.0014,0.0026,0.0021,0.0014,0.0004,0.0004,0.0001,,,0.0001,0.0005,0.0003,0.0003,0.0001,0.0001,0.0003,0.0,0.0003,0.0002,0.0004,,0.0008,0.0014,0.0026,,,0.0028,0.0001,0.0,0.0007,0.0002,0.0007,0.0007,0.0007,,0.001
2012-01-07,0.0003,0.0029,,,0.0001,0.0014,0.0001,0.0001,0.0016,0.0004,0.0022,0.0006,0.0008,0.0002,0.0001,0.0001,0.0022,,0.0005,0.0002,0.0001,0.0003,0.0002,0.0006,,0.0004,0.0417,,0.0002,0.0001,0.0003,0.0001,0.0002,0.0004,0.0001,0.0004,0.0004,,0.0003,0.0005,0.0012,0.0033,0.0006,0.0002,,0.0003,0.0002,0.0004,0.0011,0.0021,0.0018,0.0005,0.0001,0.0003,0.0025,0.0009,0.0006,0.0002,0.0005,0.0012,0.0023,0.0001,0.0005,0.0003,,0.0002,0.0005,0.0002,0.0002,0.001,0.0002,0.0001,0.0022,0.0024,0.0027,0.0018,0.0005,0.0007,0.0003,,,,0.0004,,0.0004,0.0003,0.0001,0.0004,,0.0004,0.0002,0.0005,0.0001,0.0007,0.0005,0.001,,0.0004,0.0045,,0.0004,0.0006,0.0004,0.0004,0.0009,0.0007,0.0001,0.0005
2012-01-08,0.0007,0.009,,0.0028,,,,,0.0014,,0.0021,,,,,,0.0014,,0.0014,,0.0007,0.0007,0.0007,,,,0.0869,,0.0007,,,0.0007,,,,0.0014,,,,0.0014,0.0014,0.0069,,0.0007,,,,0.0007,0.0035,0.0035,,0.0007,0.0007,0.0007,0.0007,0.0056,,,0.0007,0.0056,,,0.0007,,,0.0014,,0.0007,,0.0007,,0.0007,0.0056,0.0028,0.0007,0.0049,,0.0014,,,,,,,0.0007,0.0007,,,,0.0007,0.0028,0.0028,,0.0014,,,,0.0007,0.0132,0.0007,0.0007,0.0035,,,0.0021,,,0.0028
2012-01-09,,,,0.0003,,,,,0.0003,,,,,0.0049,,,0.0003,,,,0.0003,0.0003,0.0003,,,,0.017,,,,,,,0.0003,,,,,,,0.0022,0.0028,0.0003,,,,,,0.0015,0.0006,0.0022,0.0003,,,0.0006,0.0009,,0.0009,0.0012,,,,,,,,,,,,,,0.0003,0.0022,,0.0003,,,,,,0.0006,,,0.0003,,0.0006,,0.0003,,,,,0.0003,,,,,0.0059,,0.0003,0.0003,,,,,,0.0019
2012-01-10,0.0001,0.0049,,0.0003,0.0006,0.0,0.0006,0.0003,0.0006,0.0003,0.0017,0.0007,0.0005,0.0016,0.0,0.0001,0.0018,0.0,0.0004,0.0001,0.0004,0.0001,0.0001,0.0001,0.0001,0.0002,0.0375,0.0003,0.0001,0.0007,0.0004,,0.0001,0.0001,0.0001,0.0004,0.0002,0.0001,0.0001,0.0002,0.0018,0.0051,0.0003,0.0001,0.0001,0.0003,0.0008,0.0001,0.0018,0.0029,0.003,0.0005,0.0001,0.001,0.0021,0.0012,0.0007,0.0006,0.0003,0.0015,0.0014,0.0004,0.0003,0.0003,0.0,0.0003,0.0001,0.0004,0.0001,0.0005,0.0002,0.0003,0.0018,0.0029,0.0015,0.0025,0.0002,0.0012,0.0005,0.0,0.0003,,0.0006,0.0,0.0003,0.0001,0.0001,0.0002,0.0,0.0003,0.0004,0.0014,0.0001,0.0007,0.0017,0.0011,,0.0002,0.0039,0.0002,0.0004,0.0022,0.0002,0.001,0.0011,0.0008,0.0001,0.0006
2012-01-11,,0.0038,,0.0004,0.0001,,0.0003,0.0008,0.0008,0.0003,0.0022,0.0003,0.0002,0.0004,0.0,0.0003,0.0017,,0.0003,0.0003,0.0003,0.0002,0.0003,0.0003,,0.0004,0.039,0.0001,0.0004,0.0004,0.0004,,0.0002,0.0003,0.0004,0.0011,0.0001,0.0001,0.0001,0.0003,0.0017,0.0071,0.0001,0.0003,0.0001,0.0003,0.001,0.0001,0.0016,0.0022,0.0018,0.0009,0.0003,0.0008,0.0016,0.0012,0.0014,0.0005,0.0004,0.0016,0.0016,0.0006,0.0002,0.0003,0.0001,0.0002,,0.0,0.0003,0.0006,0.0,0.0003,0.0017,0.0024,0.0018,0.0044,0.0001,0.0005,0.001,,0.0001,0.0002,0.0008,0.0002,0.0003,0.0004,0.0002,0.0,0.0,0.0001,0.0017,0.0009,0.0001,0.0012,0.0011,0.0006,0.0001,,0.004,0.0001,0.0002,0.0027,0.0004,0.0025,0.0007,0.0004,,0.0005
