date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0
2012-01-03,22.5,0.0,,,,0.0,0.0,,,,,40.0,0.0,0.0,,,,,34.615,0.0,,,0.0,,,,0.0,0.0,,,34.615
2012-01-04,23.611,,47.917,,0.0,33.333,37.5,0.0,0.0,0.0,0.0,16.668,-33.333,35.714,0.0,0.0,0.0,0.0,56.783,25.0,0.0,0.0,33.333,0.0,0.0,,0.0,37.5,0.0,,63.57
2012-01-05,6.25,,38.889,,-33.333,42.425,25.0,-20.0,13.636,20.0,25.0,43.75,33.333,50.877,-9.091,47.059,33.335,-62.5,51.576,44.444,-50.0,-86.667,-40.001,-33.333,-20.0,0.0,38.096,38.888,-50.0,0.0,54.167
2012-01-06,1.053,33.333,32.031,,16.665,-61.905,0.0,7.143,-47.826,0.0,-24.998,50.0,,45.833,-35.715,47.917,,-40.0,34.804,-15.789,40.0,-64.706,33.333,-25.001,-30.769,33.335,-5.882,29.167,22.223,-42.857,51.885
2012-01-07,-64.0,,-30.693,,43.75,10.0,32.0,30.682,-53.846,32.143,,-45.455,0.0,-33.333,-73.333,-38.983,50.0,,9.934,-52.381,-60.0,-67.568,-44.444,8.333,-46.667,-20.0,,-47.368,,-33.333,13.611
2012-01-08,,,,,-50.0,,,,,-75.0,,-79.412,,-90.164,,-91.667,,,-72.792,,,,,-23.077,,30.0,,,,,-94.787
2012-01-09,-48.148,,-82.692,,,,,,,,,,,,,,0.0,,-81.588,,,,,,,-24.998,,,,,-94.926
2012-01-10,47.794,,43.265,,50.0,-78.572,36.112,-84.127,15.0,16.666,,34.375,-44.444,6.494,-41.176,27.778,50.0,-7.692,56.704,48.333,40.0,-20.455,45.833,65.278,-68.75,47.62,-25.0,-18.183,,50.0,55.835
2012-01-11,25.778,33.333,47.093,0.0,-17.648,35.714,3.573,-55.882,-51.352,34.694,,11.112,,-57.895,-36.843,30.0,-17.648,28.0,51.033,54.081,33.334,-86.667,-50.0,-73.077,38.888,64.583,-21.738,-15.999,,40.0,61.911
2012-01-12,49.268,-20.0,4.63,,-55.556,42.5,-20.0,51.02,-31.707,7.5,-20.0,42.0,33.333,-55.0,-4.547,-61.165,,-26.829,29.929,31.25,-8.695,-56.25,,33.333,7.143,-50.0,3.573,-14.286,,-22.581,32.768
2012-01-13,45.887,-16.667,13.704,,38.89,25.0,-43.751,-68.0,,30.159,-16.667,15.584,0.0,-52.381,53.125,-58.333,16.667,2.041,42.136,-53.448,-66.667,-68.0,29.167,17.778,-17.241,60.0,-71.429,-39.999,,,34.117
2012-01-14,17.262,-14.284,12.458,,53.333,0.0,-14.286,-57.143,-80.952,2.0,-14.288,-47.059,58.333,-50.0,-70.967,18.0,33.333,-52.941,16.839,-35.484,-30.769,-65.385,25.927,-25.0,8.333,-15.383,-12.902,-37.5,,-20.0,-19.892
2012-01-15,,,-81.818,,,,-13.157,,,,,-62.857,,,,-91.129,,-66.038,-76.561,,,,,,,,,,,,-96.535
2012-01-16,-37.671,,-95.094,,,,,,,,,,,,,,-23.077,,-95.264,,,,,,,-55.556,,,,,-96.296
2012-01-17,23.333,,-58.974,,,30.303,,-72.222,,-78.0,65.714,-61.111,-18.18,,,-53.488,31.818,1.667,-3.051,-65.625,-62.963,,-9.091,,-16.667,-53.57,-68.75,-66.667,-11.111,,-4.644
2012-01-18,28.283,,58.333,0.0,54.546,27.778,-12.196,-70.27,-4.255,22.222,-38.462,53.333,-16.667,18.333,-11.765,-90.0,8.333,1.515,54.111,43.182,-24.139,-62.963,76.624,-73.171,-15.386,-6.669,18.183,0.0,-9.091,-56.757,54.841
2012-01-19,49.375,-12.499,5.435,,50.0,-51.852,-39.535,-89.286,-59.184,30.769,-35.716,53.365,-55.999,-1.886,-10.81,-9.353,,-30.435,42.764,9.89,43.334,-80.0,-36.843,73.684,-70.0,26.667,-67.567,23.078,,-76.316,43.969
2012-01-20,26.05,-52.941,41.629,,-69.768,20.536,16.073,34.872,-78.0,51.948,-33.333,42.246,-11.111,42.381,65.973,-89.286,28.845,-12.162,33.1,-50.588,-62.857,-18.645,-35.0,70.33,-9.303,-52.941,-33.333,52.041,,-50.0,36.095
2012-01-21,10.153,-50.0,-3.178,,58.73,-20.213,-38.776,-89.063,,-5.064,,27.778,-10.346,26.111,-49.02,,,-11.393,21.045,-48.864,-24.326,1.538,-33.333,-66.265,-8.695,-51.428,-31.708,-9.999,,,-5.115
2012-01-22,,,-95.366,,,,,,-76.471,,,,,-88.06,,,,,-77.87,,,,,,,,,,,,-96.111
2012-01-23,-48.755,,-95.134,,,,,,,,,,,,,,-28.205,,-88.159,,,,,,,-50.0,,,,,-98.255
2012-01-24,34.75,,22.751,,-44.444,-66.667,-7.692,-88.372,13.846,11.458,22.725,17.764,-9.678,-15.603,47.321,20.833,,-10.714,25.249,-13.978,-60.526,-37.313,,24.166,-8.164,,-30.233,-9.434,,0.0,35.182
2012-01-25,-26.248,30.0,18.881,33.335,-42.857,13.446,66.31,-63.636,,10.785,20.835,5.714,24.443,-14.865,14.666,-15.0,,-10.112,45.619,33.333,-58.974,48.667,23.333,-48.936,-37.255,31.58,4.167,-8.928,,-73.333,54.724
2012-01-26,49.916,52.728,41.128,,28.236,-32.71,6.945,-74.627,69.328,43.889,19.23,16.666,22.917,-74.667,-51.515,-45.455,6.667,-26.882,40.397,13.491,61.344,,65.0,-82.105,-67.307,30.0,-29.166,-8.475,,,37.043
2012-01-27,25.734,-55.556,34.436,,-15.626,-31.531,24.21,-73.53,,-10.377,,-38.889,-55.263,-48.052,-74.627,-77.246,6.25,37.037,35.079,-65.766,-25.001,56.731,-41.38,-27.273,46.297,-51.162,-63.265,-8.066,,-44.681,32.243
2012-01-28,20.595,-10.346,34.857,,38.597,-47.368,5.0,-58.993,-79.73,6.667,-36.362,-7.999,,-73.077,-47.826,-88.095,56.303,-63.462,5.663,-47.368,10.527,-45.161,40.74,-8.654,-36.667,-50.0,,-37.5,,36.905,-10.671
2012-01-29,-96.257,,-77.391,,,,,,,,,,,-85.987,,,,,-84.383,,31.25,,,,,,,,,,-90.926
2012-01-30,-50.367,,-90.641,,,,,,,,,,,,,,-33.333,,-89.257,,,,,,,-48.888,,,,,-99.447
2012-01-31,-22.967,23.81,-19.865,,-44.444,-11.765,-20.253,-71.631,,-45.217,,17.709,-53.847,-42.857,-46.478,-75.294,,-25.926,41.199,-46.154,-62.5,8.333,,-62.264,-4.762,2.085,8.773,-5.971,,5.0,24.986
2012-02-01,56.048,,28.276,,38.095,-28.455,5.683,-85.211,-17.949,8.333,,38.545,,-27.711,-45.205,-37.142,0.0,-43.243,41.571,70.13,-61.403,-8.654,-70.77,-23.636,35.238,-47.917,8.333,19.318,,-72.414,53.466
2012-02-02,56.074,-54.545,31.667,,-72.152,6.522,5.435,-84.615,69.969,,-34.781,46.154,,13.0,,-74.011,38.0,75.273,27.897,,33.695,,,-80.18,-68.116,3.845,57.823,-6.757,,-71.187,43.121
2012-02-03,39.167,25.0,56.079,-20.0,-71.25,-27.82,5.208,-68.276,45.455,-44.355,,28.889,-7.317,85.183,,82.895,-3.076,46.377,27.613,35.652,,-25.926,-11.765,-79.464,-4.166,73.149,-65.079,-36.843,,-40.984,35.547
2012-02-04,-0.663,-54.055,-68.671,,29.166,-62.963,5.0,-20.0,-82.569,-25.0,21.875,-42.857,,17.172,8.333,18.0,82.609,18.75,6.883,-68.0,11.11,-25.0,-69.565,-78.761,-4.0,-52.541,-64.062,-35.897,,,-20.423
2012-02-05,,,-95.391,,,,,,,,,,,,,,,,-77.916,,,,,,,,,,,,-95.831
2012-02-06,-71.961,,-95.258,,,,,,,,,,,,,,-48.888,,-88.968,,,,,,,-51.667,,,,,-99.464
2012-02-07,-43.165,-7.694,-5.02,-16.667,11.0,31.25,-20.408,,26.875,-61.538,57.353,-27.86,26.667,-55.2,80.871,-89.474,,6.857,24.757,-3.846,32.0,22.727,-8.333,-56.522,-3.846,-3.227,6.943,36.154,-50.0,-39.683,29.305
