date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0,,100.0,,,,,,,,,100.0,,,,,0.0,,39.904,,,,,,,0.0,,,,,77.2496
2012-01-03,74.0576,0.0,,,,60.0484,0.0,,,,,100.0,100.0,16.6467,,,,,43.6523,100.0,,,0.0,,,,100.0,0.0,,,71.3063
2012-01-04,75.9005,,73.9572,,0.0,40.1869,100.0,17.9842,59.5578,50.0,0.0,0.0,14.4928,49.2889,67.0,100.0,85.6061,24.288,46.9829,34.5806,65.5454,64.5297,0.0,0.0,65.3748,,100.0,0.0,0.0,,69.5337
2012-01-05,89.1701,,83.403,,0.0,54.2182,100.0,12.939,34.9783,64.557,59.2784,85.0386,79.3241,62.8249,0.0,27.8115,73.6702,0.0,51.1116,78.0549,0.0,35.8396,75.0369,0.0,100.0,0.0,77.0018,10.5316,0.0,94.385,69.3865
2012-01-06,78.1825,0.0,77.6703,,100.0,14.311,0.0,62.0422,71.786,85.1145,92.6923,53.7334,,27.9205,0.0,48.8372,,71.0891,41.8477,75.0998,100.0,14.0268,51.5429,46.6908,100.0,0.0,50.0,66.6667,100.0,0.0,72.1261
2012-01-07,88.9163,,70.558,,0.0,51.3742,35.1044,44.7495,68.2879,90.7348,,79.2602,0.0,44.3256,0.0,100.0,33.2669,,37.7311,82.0979,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,86.2032,70.6299
2012-01-08,,,,,0.0,,,,,100.0,,50.0,,0.0,,0.0,,,37.544,,,,,0.0,,50.0,,,,,70.1092
2012-01-09,0.0,,100.0,,,,,,,,,,,,,,0.0,,50.1182,,,,,,,0.0,,,,,84.2663
2012-01-10,79.6229,,86.4649,,30.3571,59.9222,0.0,0.0,58.8167,76.8519,,78.4553,0.0,78.2403,0.0,89.422,85.1108,100.0,36.8131,73.4842,90.0798,41.2698,0.0,40.1096,0.0,100.0,100.0,0.0,,85.1056,76.5146
2012-01-11,86.2304,23.7939,86.6944,50.0,100.0,49.5587,44.4444,0.0,71.6776,69.8113,,100.0,,100.0,0.0,72.3908,100.0,94.6298,49.0879,51.6996,0.0,7.722,50.0,0.0,100.0,97.2191,73.3945,0.0,,100.0,74.4054
2012-01-12,70.8984,73.6232,60.9609,,0.0,45.2972,0.0,33.7801,87.6852,78.1818,33.5079,65.4321,0.0,69.6543,0.0,0.0,,43.3636,38.9764,64.4891,50.0,6.8736,,38.9247,0.0,0.0,100.0,0.0,,47.2607,71.0447
2012-01-13,43.5258,100.0,67.9006,,0.0,50.4242,0.0,42.9197,,77.4481,100.0,67.3986,36.7713,56.1451,71.8908,85.2878,81.2355,100.0,48.7655,65.4262,0.0,0.0,0.0,17.2822,0.0,33.6694,0.0,0.0,,,71.7396
2012-01-14,75.6471,0.0,85.947,,81.6817,17.079,42.8312,20.0392,77.7439,85.3383,0.0,100.0,0.0,58.8235,0.0,29.4231,100.0,42.9875,46.5483,75.7709,100.0,25.452,0.0,36.3839,0.0,0.0,100.0,0.0,,83.4375,65.0389
2012-01-15,,,9.0531,,,,50.0,,,,,0.0,,,,66.7244,,0.0,22.2569,,,,,,,,,,,,41.1069
2012-01-16,0.0,,100.0,,,,,,,,,,,,,,0.0,,21.0561,,,,,,,0.0,,,,,68.4943
2012-01-17,35.6256,,90.7056,,,50.1495,,8.0124,,100.0,43.9527,100.0,40.0881,,,66.7244,0.0,70.9271,52.5958,47.4299,100.0,,0.0,,54.4389,0.0,0.0,0.0,32.8125,,78.9263
2012-01-18,92.7355,,73.8108,68.779,100.0,47.7473,0.0,0.0,71.2687,71.1864,0.0,62.9431,72.0497,80.1732,0.0,0.0,100.0,53.9407,46.628,83.3152,100.0,30.744,40.7762,0.0,0.0,100.0,50.0,0.0,100.0,85.8491,69.5581
2012-01-19,79.4771,57.0621,78.6547,,89.6405,62.1951,0.0,0.0,73.9827,78.1977,57.3222,91.9037,0.0,47.5309,0.0,0.0,,67.62,49.2432,91.9307,100.0,0.0,0.0,49.5062,0.0,100.0,100.0,0.0,,60.0543,68.9042
2012-01-20,86.4468,50.0,67.7731,,0.0,49.5568,66.791,65.3359,74.8971,89.5028,57.2034,43.1796,0.0,70.4853,0.0,0.0,91.1571,50.0,52.6429,32.1723,0.0,54.312,100.0,100.0,0.0,0.0,64.7426,17.5373,,75.0,66.2401
2012-01-21,69.3333,24.9509,59.5841,,69.3853,60.2389,0.0,0.0,,67.5325,,100.0,80.5085,42.3316,0.0,,,0.0,44.4628,71.9321,0.0,19.4084,60.0304,100.0,0.0,0.0,100.0,0.0,,,63.0206
2012-01-22,,,91.7012,,,,,,100.0,,,,,90.7692,,,,,29.5554,,,,,,,,,,,,44.4547
2012-01-23,0.0,,100.0,,,,,,,,,,,,,,0.0,,23.179,,,,,,,0.0,,,,,42.6501
