date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0,,0.0909,,,,,,,,,0.0118,,,,,0.0,,0.0175,,,,,,,0.0,,,,,0.0243
2012-01-03,0.0045,0.0,,,,0.0248,0.0,,,,,0.0211,0.0166,0.0133,,,,,0.0207,0.0082,,,0.0,,,,0.0345,0.0,,,0.0315
2012-01-04,0.0067,,0.0271,,0.0,0.0115,0.0042,0.0052,0.0204,0.002,0.0,0.0,0.002,0.0247,0.0054,0.0496,0.0226,0.0241,0.0156,0.0201,0.0237,0.0171,0.0,0.0,0.017,,0.0205,0.0,0.0,,0.0223
2012-01-05,0.0168,,0.0281,,0.0,0.0149,0.0286,0.0136,0.0072,0.0053,0.0128,0.0376,0.0087,0.0247,0.0,0.0181,0.0152,0.0,0.0187,0.0299,0.0,0.0154,0.0508,0.0,0.0175,0.0,0.0081,0.0047,0.0,0.0121,0.0223
2012-01-06,0.0142,0.0,0.0285,,0.0112,0.006,0.0,0.0203,0.0212,0.0066,0.0241,0.0203,,0.01,0.0,0.016,,0.009,0.0156,0.0232,0.0341,0.0051,0.0314,0.0227,0.0198,0.0,0.0045,0.0302,0.0149,0.0,0.0225
2012-01-07,0.0234,,0.0279,,0.0,0.0069,0.0025,0.0126,0.0256,0.0119,,0.0185,0.0,0.021,0.0,0.0286,0.0082,,0.0141,0.034,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0403,0.0197
2012-01-08,,,,,0.0,,,,,0.0255,,0.0106,,0.0,,0.0,,,0.0158,,,,,0.0,,0.0155,,,,,0.023
2012-01-09,0.0,,0.0452,,,,,,,,,,,,,,0.0,,0.012,,,,,,,0.0,,,,,0.0193
2012-01-10,0.0118,,0.0333,,0.0031,0.0154,0.0,0.0,0.0253,0.0053,,0.0072,0.0,0.0096,0.0,0.0091,0.0387,0.0325,0.017,0.025,0.0184,0.0222,0.0,0.0072,0.0,0.0047,0.0025,0.0,,0.0336,0.025
2012-01-11,0.0053,0.0085,0.0316,0.0196,0.0102,0.0152,0.011,0.0,0.0229,0.006,,0.0087,,0.0113,0.0,0.0135,0.08,0.0361,0.019,0.0184,0.0,0.004,0.0122,0.0,0.0062,0.0404,0.0648,0.0,,0.0308,0.0244
2012-01-12,0.0131,0.0263,0.0255,,0.0,0.0117,0.0,0.0208,0.0219,0.0058,0.0064,0.0149,0.0,0.0143,0.0,0.0,,0.0112,0.017,0.015,0.0067,0.003,,0.0051,0.0,0.0,0.0607,0.0,,0.0197,0.0218
2012-01-13,0.0115,0.0193,0.0293,,0.0,0.0122,0.0,0.0024,,0.0042,0.0122,0.0143,0.0034,0.0291,0.0111,0.0253,0.0341,0.0311,0.0176,0.0181,0.0,0.0,0.0,0.0081,0.0,0.0027,0.0,0.0,,,0.0233
2012-01-14,0.0106,0.0,0.0458,,0.0175,0.0036,0.0055,0.0219,0.0255,0.0053,0.0,0.048,0.0,0.021,0.0,0.0026,0.0048,0.025,0.0164,0.0257,0.0417,0.0092,0.0,0.0114,0.0,0.0,0.0097,0.0,,0.021,0.0194
2012-01-15,,,0.0044,,,,0.028,,,,,0.0,,,,0.0385,,0.0,0.0098,,,,,,,,,,,,0.0181
2012-01-16,0.0,,0.0909,,,,,,,,,,,,,,0.0,,0.0088,,,,,,,0.0,,,,,0.0242
2012-01-17,0.003,,0.057,,,0.0143,,0.0164,,0.0184,0.0231,0.0199,0.003,,,0.0039,0.0,0.0117,0.0196,0.0168,0.0112,,0.0,,0.0121,0.0,0.0,0.0,0.0032,,0.025
2012-01-18,0.006,,0.0269,0.0445,0.0239,0.0101,0.0,0.0,0.0279,0.0036,0.0,0.018,0.0032,0.026,0.0,0.0,0.0057,0.0216,0.0159,0.0304,0.0211,0.0145,0.0192,0.0,0.0,0.0196,0.0026,0.0,0.0362,0.0182,0.0235
2012-01-19,0.0185,0.0101,0.0319,,0.0227,0.0142,0.0,0.0,0.0296,0.004,0.0137,0.0105,0.0,0.0164,0.0,0.0,,0.021,0.0176,0.0258,0.0178,0.0,0.0,0.0085,0.0,0.0168,0.04,0.0,,0.0221,0.0231
2012-01-20,0.0179,0.0263,0.0278,,0.0,0.0152,0.0037,0.0202,0.0182,0.0059,0.0135,0.0107,0.0,0.0271,0.0,0.0,0.032,0.0081,0.0183,0.0091,0.0,0.0185,0.0303,0.0055,0.0,0.0,0.0213,0.0064,,0.0345,0.0213
2012-01-21,0.0062,0.0127,0.0192,,0.0076,0.0127,0.0,0.0,,0.0088,,0.0216,0.0051,0.0145,0.0,,,0.0,0.0146,0.0191,0.0,0.0097,0.0044,0.0042,0.0,0.0,0.039,0.0,,,0.0203
2012-01-22,,,0.0221,,,,,,0.011,,,,,0.0236,,,,,0.0134,,,,,,,,,,,,0.015
2012-01-23,0.0,,0.0909,,,,,,,,,,,,,,0.0,,0.0141,,,,,,,0.0,,,,,0.0092
2012-01-24,0.013,,0.0342,,0.0147,0.0075,0.0043,0.0,0.0317,0.0066,0.0196,0.0118,0.0,0.0165,0.0,0.018,,0.0247,0.0199,0.0254,0.0,0.0088,,0.0,0.0,,0.0,0.0,,0.0299,0.0254
2012-01-25,0.0129,0.0149,0.0355,0.023,0.0147,0.0099,0.0115,0.0061,,0.0035,0.0254,0.0361,0.0,0.0082,0.0094,0.0199,,0.0062,0.0219,0.0156,0.0,0.0135,0.0173,0.0057,0.0,0.019,0.0185,0.0,,0.0431,0.0231
2012-01-26,0.0083,0.0081,0.0346,,0.0089,0.0055,0.0021,0.0391,0.0057,0.0049,0.0251,0.014,0.0,0.0207,0.0,0.0,0.023,0.0191,0.0189,0.0187,0.0335,,0.0175,0.0,0.0,0.0065,0.0087,0.0,,,0.0225
2012-01-27,0.0026,0.0216,0.0268,,0.0163,0.0151,0.0,0.0096,,0.0036,,0.0238,0.0,0.0448,0.0,0.0,0.0351,0.0077,0.018,0.0082,0.0455,0.0098,0.0,0.0,0.0164,0.0,0.0407,0.0,,0.0157,0.0216
2012-01-28,0.0133,0.0,0.0341,,0.0017,0.007,0.0033,0.0179,0.0055,0.003,0.0121,0.0035,,0.0098,0.0,0.0,0.0101,0.0,0.0157,0.0134,0.0125,0.0039,0.0043,0.0122,0.0,0.0,,0.0,,0.0166,0.018
2012-01-29,0.0,,0.0099,,,,,,,,,,,0.0117,,,,,0.0159,,0.0,,,,,,,,,,0.0157
2012-01-30,0.0,,0.0355,,,,,,,,,,,,,,0.0,,0.011,,,,,,,0.0,,,,,0.0482
2012-01-31,0.0032,0.0358,0.0264,,0.0138,0.0173,0.0023,0.0275,,0.0018,,0.0156,0.0,0.0153,0.0,0.0172,,0.0125,0.017,0.0379,0.0,0.0133,,0.0,0.0,0.027,0.0375,0.0,,0.0124,0.0236
2012-02-01,0.0135,,0.0218,,0.0038,0.0043,0.0016,0.04,0.0302,0.0021,,0.0154,,0.0253,0.0,0.0295,0.0208,0.0474,0.0182,0.0144,0.0,0.0205,0.0,0.0043,0.0118,0.0,0.0134,0.0051,,0.0389,0.0242
2012-02-02,0.0033,0.0181,0.028,,0.0,0.0205,0.0155,0.0,0.0045,,0.0113,0.0265,,0.0306,,0.0263,0.0151,0.0172,0.0196,,0.0229,,,0.0208,0.0016,0.0,0.0084,0.0,,0.0244,0.0228
2012-02-03,0.0037,0.0066,0.0253,0.025,0.0,0.0268,0.0089,0.0219,0.0054,0.0023,,0.0045,0.0339,0.0145,,0.0156,0.0185,0.0051,0.0173,0.0292,,0.0018,0.0016,0.0,0.0225,0.0045,0.0513,0.0,,0.0083,0.0218
2012-02-04,0.007,0.0279,0.0141,,0.0017,0.0093,0.0,0.0,0.012,0.0054,0.0,0.0164,,0.0111,0.0,0.0137,0.0129,0.0099,0.018,0.0189,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0198
2012-02-05,,,0.0179,,,,,,,,,,,,,,,,0.0173,,,,,,,,,,,,0.0153
2012-02-06,0.0,,0.0909,,,,,,,,,,,,,,0.0,,0.0089,,,,,,,0.0,,,,,0.0254
2012-02-07,0.0086,0.046,0.0142,0.0,0.0116,0.0115,0.0,,0.0047,0.006,0.0113,0.0088,0.0,0.0155,0.0076,0.0284,,0.0109,0.0164,0.0137,0.0495,0.0121,0.0265,0.0,0.0137,0.0,0.0268,0.0,0.0522,0.05,0.0255
2012-02-08,0.0108,0.024,0.0251,,0.0194,0.0099,0.0043,0.0,0.0255,0.0023,0.0065,0.0111,0.0054,0.0133,0.0154,0.1176,,0.0248,0.0183,0.0222,0.0022,0.009,0.0191,0.0,0.0015,0.0173,0.0108,0.0,,0.0545,0.023
2012-02-09,0.0081,,0.0255,,0.018,0.0208,0.0,0.0106,0.0225,0.0067,0.0,0.0135,,0.018,0.0,0.0,0.0047,0.0269,0.0149,0.0229,0.0165,0.0112,0.0,0.0109,0.0068,0.0,0.0093,0.0,0.0072,0.0263,0.0253
2012-02-10,0.0074,0.0118,0.0235,0.0,0.0,,0.0,0.0,0.0408,0.0055,0.0214,0.0071,0.0,0.0,0.0,,0.0,0.0217,0.0157,0.0325,0.0,0.0176,0.0,0.0,0.0,0.0,0.0357,0.0,,,0.0223
2012-02-11,0.0085,0.0453,0.0145,,0.0,,0.0,,,0.0,,0.023,0.0,,0.0,0.0229,,0.0,0.0162,0.0456,0.0,0.0031,0.0,0.0,0.006,0.0,,0.0,,0.025,0.0175
2012-02-12,0.0,,0.0196,,,,,,,,0.0,,,,0.0283,,,,0.0123,,0.0308,,,,0.0357,,,,,,0.0158
2012-02-13,0.0,,0.022,,,,,0.1053,,,,,,,,,0.0,,0.0177,,,,,0.0091,,0.0,,,,,0.0212
2012-02-14,0.0072,0.0278,0.0354,0.0,0.0043,0.0271,0.0,0.0174,,0.0032,0.0174,0.0234,0.003,0.0158,0.0157,0.0257,,0.0107,0.0194,0.0355,0.0,0.0103,0.0,0.0,0.0273,0.0,0.0224,0.0,,,0.024
2012-02-15,0.0092,0.0053,0.0325,0.0093,0.0204,0.0148,0.0,0.0,0.0287,0.0021,0.003,0.0027,,0.0203,0.0,0.0,,0.0097,0.0193,0.0233,0.0169,0.0082,0.0139,0.0096,0.0,0.0,0.0101,0.0,0.0129,0.0246,0.0237
2012-02-16,0.0091,0.0149,0.0296,,0.0194,0.0067,0.0028,0.0,0.005,0.0042,0.0243,0.0006,,0.0027,0.0,0.0017,0.0112,0.0141,0.02,0.0304,0.0048,0.0126,,0.0038,0.0061,0.0007,0.0,0.006,0.0,0.0008,0.0234
2012-02-17,0.0094,0.0342,0.0361,,0.0126,0.0113,0.0137,0.0222,,0.0062,,0.0099,,0.0136,0.0,0.0,0.0078,0.0156,0.016,0.0248,0.0,0.0091,0.0042,0.0048,0.0129,0.0,0.0094,0.0,0.0038,0.0403,0.0217
