date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0039,,0.0004,,,,,,,,,0.0004,,,,,0.0004,,0.0043,,,,,,,0.0004,,,,,0.0014
2012-01-03,0.0049,0.0002,,,,0.0005,0.0002,,,,,0.0012,0.0005,0.0005,,,,,0.0096,0.0005,,,0.0002,,,,0.0007,0.0002,,,0.0032
2012-01-04,0.0012,,0.0012,,0.0001,0.0003,0.0002,0.0008,0.0004,0.0002,0.0001,0.0002,0.0001,0.0004,0.0003,0.0001,0.0001,0.0007,0.0087,0.0002,0.0002,0.0014,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,,0.0092
2012-01-05,0.0009,,0.0014,,0.0,0.0005,0.0002,0.0005,0.0005,0.0002,0.0001,0.0004,0.0001,0.0009,0.0002,0.0008,0.0001,0.0001,0.0109,0.0004,0.0,0.0001,0.0,0.0001,0.0002,0.0,0.0003,0.0003,0.0,0.0002,0.0109
2012-01-06,0.0008,0.0001,0.0014,,0.0001,0.0001,0.0001,0.0006,0.0002,0.0002,0.0,0.0005,,0.0011,0.0001,0.0014,,0.0002,0.009,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0001,0.0001,0.0137
2012-01-07,0.0004,,0.0008,,0.0002,0.0004,0.0003,0.0013,0.0002,0.0004,,0.0002,0.0001,0.0005,0.0001,0.0005,0.0002,,0.0089,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,,0.0001,,0.0001,0.0106
2012-01-08,,,,,0.0007,,,,,0.0007,,0.0007,,0.0007,,0.0007,,,0.0229,,,,,0.0014,,0.0014,,,,,0.0049
2012-01-09,0.0025,,0.0009,,,,,,,,,,,,,,0.0006,,0.0062,,,,,,,0.0003,,,,,0.0019
2012-01-10,0.0013,,0.0013,,0.0002,0.0,0.0002,0.0001,0.0003,0.0002,,0.0003,0.0,0.0004,0.0001,0.0007,0.0002,0.0002,0.0111,0.0004,0.0002,0.0003,0.0001,0.0004,0.0,0.0001,0.0001,0.0001,,0.0003,0.0117
2012-01-11,0.0009,0.0001,0.0015,0.0,0.0001,0.0003,0.0001,0.0002,0.0001,0.0002,,0.0002,,0.0001,0.0001,0.0007,0.0001,0.0003,0.0103,0.0005,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0001,0.0001,,0.0003,0.0155
