date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,0.0267,,,,,,,0.0,,,,,0.0063
2012-01-03,0.0015,0.0,,,,0.0165,0.0,,,,,0.0,0.0,0.0389,,,,,0.0237,0.0,,,0.0357,,,,0.0,0.0,,,0.0114
2012-01-04,0.0039,,0.0106,,0.0,0.0171,0.0,0.0344,0.014,0.002,0.0,0.0,0.0118,0.0286,0.0027,0.0,0.0038,0.0046,0.0174,0.0401,0.0237,0.0113,0.0187,0.0177,0.0037,,0.0,0.0,0.0,,0.0095
2012-01-05,0.0016,,0.006,,0.0065,0.0113,0.0,0.0332,0.0197,0.0042,0.0102,0.0072,0.0058,0.0216,0.022,0.0327,0.0085,0.0,0.0163,0.0105,0.0,0.0269,0.0169,0.0,0.0,0.0,0.0027,0.0396,0.0,0.002,0.009
2012-01-06,0.0027,0.0,0.0076,,0.0,0.0322,0.0,0.011,0.0081,0.0016,0.0019,0.0064,,0.0233,0.0,0.0084,,0.006,0.0185,0.0102,0.0,0.0321,0.0366,0.0341,0.0,0.0,0.0045,0.0151,0.0,0.0,0.009
2012-01-07,0.0017,,0.015,,0.0011,0.0098,0.0063,0.0244,0.0117,0.0017,,0.0062,0.007,0.0223,0.0,0.0,0.0164,,0.0218,0.0068,0.0,0.0,0.0,0.016,0.0,0.0,,0.0,,0.0064,0.0081
2012-01-08,,,,,0.002,,,,,0.0,,0.0106,,0.0,,0.0,,,0.0267,,,,,0.0245,,0.0155,,,,,0.01
2012-01-09,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0115,,,,,,,0.0,,,,,0.0035
2012-01-10,0.0037,,0.0051,,0.0066,0.0103,0.0,0.0125,0.0135,0.0021,,0.0024,0.007,0.0033,0.0,0.0026,0.0084,0.0,0.021,0.0085,0.0028,0.0222,0.0133,0.0168,0.0,0.0,0.0,0.0,,0.0059,0.0072
2012-01-11,0.0007,0.0068,0.005,0.0196,0.0,0.0148,0.0138,0.0274,0.0085,0.0043,,0.0,,0.0,0.0,0.0045,0.0,0.0019,0.0186,0.0183,0.0,0.0478,0.0122,0.0,0.0,0.0016,0.0185,0.0,,0.0,0.0083
2012-01-12,0.0076,0.0088,0.0167,,0.0,0.0152,0.0022,0.0276,0.0044,0.0023,0.0127,0.0075,0.0066,0.0071,0.0,0.0,,0.0096,0.0205,0.0088,0.0067,0.0441,,0.012,0.0,0.0,0.0,0.0,,0.0197,0.009
2012-01-13,0.012,0.0,0.0161,,0.0,0.0114,0.0,0.0359,,0.0017,0.0,0.0107,0.0069,0.0236,0.0049,0.0127,0.0038,0.0,0.0183,0.0103,0.0,0.0269,0.0007,0.0366,0.0,0.0082,0.0,0.0,,,0.0091
2012-01-14,0.0034,0.0072,0.0069,,0.0062,0.0169,0.0073,0.0087,0.0073,0.0013,0.0,0.0,0.0058,0.0216,0.0,0.0226,0.0,0.0063,0.0195,0.0099,0.0,0.0268,0.0,0.02,0.0123,0.0134,0.0,0.0,,0.0042,0.0093
2012-01-15,,,0.0786,,,,0.028,,,,,0.0,,,,0.0192,,0.0,0.0297,,,,,,,,,,,,0.0215
2012-01-16,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0354,,,,,,,0.0,,,,,0.0095
2012-01-17,0.0038,,0.0067,,,0.0158,,0.0082,,0.0,0.0279,0.0,0.006,,,0.0019,0.0,0.0117,0.0149,0.0187,0.0,,0.0197,,0.0112,0.0,0.0469,0.0,0.0064,,0.0064
2012-01-18,0.0006,,0.0122,0.0202,0.0,0.0094,0.0,0.0,0.0085,0.0018,0.0023,0.0105,0.0032,0.0057,0.0,0.0,0.0,0.0144,0.0176,0.0052,0.0,0.0304,0.0279,0.0,0.0,0.0,0.0026,0.0,0.0,0.003,0.0103
2012-01-19,0.0046,0.0076,0.0075,,0.0052,0.0113,0.0,0.0,0.0108,0.0016,0.0102,0.0015,0.0046,0.0254,0.0,0.0069,,0.0105,0.0156,0.0026,0.0,0.0185,0.0,0.0117,0.0,0.0,0.0,0.0,,0.0147,0.0103
2012-01-20,0.0035,0.0263,0.0143,,0.0,0.0161,0.0018,0.0247,0.0061,0.0012,0.0101,0.0267,0.0052,0.0071,0.0,0.0,0.0044,0.0081,0.0143,0.0282,0.0,0.0278,0.0,0.0,0.0723,0.0,0.0107,0.0387,,0.0115,0.0107
2012-01-21,0.0021,0.0382,0.0129,,0.0023,0.0111,0.0,0.0435,,0.0059,,0.0,0.0034,0.0249,0.0,,,0.0258,0.0164,0.0077,0.0,0.0385,0.0029,0.0,0.0,0.0,0.0,0.0,,,0.0111
2012-01-22,,,0.002,,,,,,0.0,,,,,0.0024,,,,,0.0325,,,,,,,,,,,,0.015
2012-01-23,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.023,,,,,,,0.0,,,,,0.0271
2012-01-24,0.0038,,0.0039,,0.0147,0.0112,0.0,0.0,0.0016,0.0019,0.0035,0.0181,0.0056,0.0146,0.0,0.018,,0.005,0.015,0.0169,0.0,0.0251,,0.0065,0.0,,0.0,0.0,,0.0018,0.009
2012-01-25,0.0032,0.0081,0.0169,0.023,0.0,0.0148,0.0092,0.0184,,0.0026,0.003,0.002,0.0056,0.0421,0.0134,0.0525,,0.0062,0.0181,0.0072,0.0,0.0106,0.0289,0.0057,0.0,0.0,0.0093,0.0,,0.0,0.0091
2012-01-26,0.0057,0.0418,0.015,,0.0018,0.0073,0.0011,0.0052,0.0093,0.0054,0.0105,0.0042,0.0057,0.0369,0.0,0.0488,0.0101,0.0127,0.0146,0.0097,0.0,,0.0032,0.0,0.0,0.0,0.0087,0.0,,,0.0099
2012-01-27,0.0026,0.0,0.0128,,0.0012,0.0186,0.0019,0.0048,,0.0024,,0.0211,0.0055,0.0123,0.0,0.0345,0.0019,0.0,0.0215,0.0165,0.0,0.0221,0.0326,0.0,0.0037,0.0,0.0407,0.0,,0.0053,0.0105
2012-01-28,0.0009,0.0,0.0067,,0.0,0.0123,0.0049,0.0477,0.0082,0.002,0.0387,0.0035,,0.0123,0.0,0.0,0.0065,0.0,0.0206,0.0134,0.0083,0.0331,0.0052,0.004,0.0,0.0,,0.0,,0.0434,0.0101
2012-01-29,0.0,,0.0114,,,,,,,,,,,0.0117,,,,,0.0287,,0.0513,,,,,,,,,,0.0135
2012-01-30,0.0,,0.0213,,,,,,,,,,,,,,0.0,,0.0237,,,,,,,0.0,,,,,0.0022
2012-01-31,0.0011,0.0191,0.0311,,0.0,0.0221,0.0,0.0069,,0.0018,,0.0107,0.0058,0.0116,0.0,0.0019,,0.0,0.0158,0.0067,0.0,0.0214,,0.0,0.0,0.027,0.0034,0.0,,0.0471,0.0101
2012-02-01,0.0031,,0.0211,,0.01,0.0073,0.0016,0.0,0.0058,0.0031,,0.0039,,0.0159,0.0,0.0018,0.0131,0.0,0.0154,0.0083,0.0,0.031,0.0,0.0,0.0039,0.0,0.01,0.0237,,0.0,0.0091
2012-02-02,0.0039,0.0181,0.0131,,0.0,0.0137,0.0,0.0312,0.0147,,0.0151,0.0073,,0.0146,,0.0,0.0015,0.0077,0.0146,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0122,0.0094
2012-02-03,0.0033,0.0198,0.0128,0.025,0.0,0.0149,0.0,0.0,0.0283,0.0023,,0.0045,0.0042,0.0169,,0.0029,0.0069,0.002,0.0163,0.0102,,0.0091,0.0065,0.0,0.0,0.0045,0.0,0.0,,0.0042,0.0105
2012-02-04,0.007,0.0,0.0198,,0.0176,0.0046,0.0,0.0064,0.0,0.0067,0.0,0.0,,0.019,0.0036,0.0205,0.0213,0.0,0.0167,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,,,0.01
2012-02-05,,,0.0159,,,,,,,,,,,,,,,,0.0131,,,,,,,,,,,,0.0166
