Date,AB,ACC,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PNW,RMBS,SEB,SF,SIX,SM,TRN,VAC,VC,WIRE,ADS,PCI,TCO
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09,20.0,17.0,,,2.0,,25.0,5.0,10.0,14.0,15.0,22.0,7.0,16.0,13.0,9.0,19.0,4.0,11.0,12.0,21.0,18.0,6.0,24.0,1.0,3.0,23.0,8.0,,,
2012-01-16,5.0,20.0,,,11.0,,25.0,14.0,16.0,13.0,4.0,2.0,18.0,10.0,12.0,6.0,8.0,15.0,22.0,3.0,19.0,1.0,17.0,24.0,21.0,7.0,23.0,9.0,,,
2012-01-23,21.0,6.0,,,17.0,,1.0,2.0,14.0,16.0,8.0,24.0,9.0,22.0,23.0,11.0,12.0,5.0,10.0,25.0,4.0,20.0,7.0,15.0,19.0,3.0,18.0,13.0,,,
2012-01-30,3.0,15.0,,,6.0,,12.0,18.0,17.0,24.0,16.0,13.0,1.0,14.0,5.0,22.0,19.0,7.0,23.0,25.0,10.0,11.0,20.0,21.0,9.0,2.0,4.0,8.0,,,
2012-02-06,25.0,17.0,,,22.0,,21.0,20.0,16.0,9.0,11.0,12.0,13.0,24.0,14.0,10.0,6.0,8.0,5.0,3.0,18.0,23.0,1.0,2.0,7.0,4.0,15.0,19.0,,,
2012-02-13,25.0,23.0,,,7.0,,24.0,14.0,12.0,9.0,6.0,21.0,5.0,8.0,13.0,17.0,10.0,15.0,18.0,20.0,16.0,2.0,19.0,4.0,3.0,22.0,1.0,11.0,,,
2012-02-20,2.0,13.0,,,18.0,,9.0,19.0,8.0,16.0,10.0,20.0,14.0,4.0,7.0,17.0,11.0,6.0,15.0,25.0,23.0,22.0,21.0,5.0,12.0,1.0,24.0,3.0,,,
2012-02-27,6.0,10.0,,,24.0,,9.0,23.0,17.0,13.0,7.0,4.0,1.0,14.0,5.0,8.0,20.0,19.0,11.0,25.0,21.0,18.0,12.0,22.0,15.0,2.0,3.0,16.0,,,
2012-03-05,1.0,7.0,,,5.0,,23.0,18.0,14.0,15.0,2.0,24.0,11.0,12.0,8.0,21.0,9.0,22.0,13.0,20.0,10.0,17.0,6.0,16.0,19.0,3.0,25.0,4.0,,,
2012-03-12,25.0,8.0,,,11.0,,2.0,12.0,23.0,20.0,24.0,1.0,14.0,3.0,19.0,6.0,9.0,7.0,22.0,17.0,10.0,4.0,18.0,13.0,5.0,21.0,16.0,15.0,,,
2012-03-19,5.0,16.0,,,6.0,,13.0,17.0,12.0,20.0,2.0,14.0,1.0,21.0,10.0,15.0,19.0,23.0,11.0,22.0,7.0,3.0,8.0,25.0,24.0,4.0,9.0,18.0,,,
2012-03-26,9.0,4.0,,,6.0,,1.0,7.0,13.0,15.0,12.0,20.0,18.0,5.0,14.0,2.0,10.0,19.0,8.0,24.0,17.0,23.0,16.0,25.0,21.0,3.0,22.0,11.0,,,
2012-04-02,21.0,8.0,,,7.0,,16.0,1.0,13.0,18.0,4.0,25.0,3.0,6.0,2.0,11.0,19.0,9.0,15.0,24.0,17.0,12.0,14.0,22.0,10.0,5.0,23.0,20.0,,,
2012-04-09,9.0,12.0,,,16.0,,6.0,2.0,13.0,8.0,14.0,1.0,3.0,21.0,11.0,4.0,18.0,7.0,10.0,24.0,20.0,23.0,15.0,19.0,22.0,5.0,25.0,17.0,,,
2012-04-16,24.0,10.0,,,1.0,,20.0,3.0,13.0,15.0,9.0,17.0,2.0,4.0,23.0,6.0,12.0,18.0,5.0,25.0,11.0,16.0,7.0,22.0,21.0,14.0,8.0,19.0,,,
2012-04-23,19.0,16.0,,,4.0,,8.0,14.0,9.0,15.0,17.0,18.0,11.0,24.0,3.0,6.0,21.0,23.0,12.0,22.0,2.0,7.0,5.0,10.0,20.0,13.0,1.0,25.0,,,
2012-04-30,8.0,5.0,,,21.0,,19.0,9.0,17.0,2.0,10.0,1.0,12.0,15.0,7.0,6.0,20.0,22.0,4.0,18.0,16.0,14.0,11.0,13.0,24.0,3.0,25.0,23.0,,,
2012-05-07,2.0,8.0,,,4.0,,24.0,11.0,5.0,17.0,23.0,12.0,15.0,18.0,25.0,16.0,13.0,20.0,6.0,9.0,10.0,22.0,14.0,3.0,19.0,1.0,21.0,7.0,,,
2012-05-14,10.0,8.0,,,4.0,,19.0,18.0,7.0,5.0,1.0,16.0,17.0,9.0,13.0,14.0,11.0,15.0,6.0,21.0,3.0,22.0,12.0,25.0,24.0,20.0,23.0,2.0,,,
2012-05-21,23.0,15.0,,,18.0,,21.0,14.0,17.0,20.0,3.0,22.0,4.0,6.0,2.0,7.0,19.0,1.0,10.0,13.0,16.0,9.0,11.0,25.0,5.0,24.0,8.0,12.0,,,
2012-05-28,24.0,10.0,,,17.0,,11.0,22.0,6.0,14.0,20.0,2.0,23.0,8.0,9.0,15.0,12.0,16.0,3.0,1.0,4.0,19.0,5.0,25.0,21.0,13.0,18.0,7.0,,,
2012-06-04,25.0,8.0,,,11.0,,19.0,2.0,13.0,5.0,14.0,23.0,7.0,16.0,21.0,9.0,6.0,18.0,10.0,22.0,3.0,12.0,1.0,24.0,4.0,17.0,15.0,20.0,,,
2012-06-11,18.0,14.0,,,16.0,,10.0,19.0,13.0,9.0,23.0,2.0,6.0,17.0,21.0,20.0,4.0,5.0,7.0,1.0,12.0,11.0,8.0,24.0,25.0,3.0,22.0,15.0,,,
2012-06-18,5.0,19.0,,,2.0,,15.0,11.0,8.0,22.0,18.0,4.0,6.0,16.0,23.0,7.0,12.0,24.0,20.0,25.0,13.0,17.0,9.0,21.0,3.0,1.0,14.0,10.0,,,
2012-06-25,10.0,11.0,,,20.0,,4.0,5.0,13.0,8.0,9.0,24.0,23.0,7.0,19.0,12.0,1.0,17.0,16.0,18.0,14.0,22.0,3.0,2.0,15.0,21.0,25.0,6.0,,,
2012-07-02,14.0,9.0,,,8.0,,2.0,1.0,11.0,16.0,6.0,4.0,7.0,19.0,21.0,12.0,17.0,5.0,15.0,23.0,10.0,18.0,20.0,22.0,25.0,13.0,24.0,3.0,,,
2012-07-09,21.0,5.0,,,10.0,,20.0,3.0,6.0,14.0,1.0,23.0,13.0,7.0,15.0,17.0,19.0,8.0,4.0,24.0,2.0,9.0,16.0,18.0,11.0,22.0,25.0,12.0,,,
2012-07-16,21.0,7.0,,,23.0,,13.0,24.0,14.0,5.0,11.0,15.0,3.0,9.0,2.0,19.0,22.0,4.0,8.0,25.0,17.0,18.0,10.0,1.0,6.0,16.0,20.0,12.0,,,
2012-07-23,12.0,19.0,,,23.0,,22.0,6.0,21.0,8.0,15.0,16.0,11.0,7.0,10.0,13.0,14.0,4.0,17.0,24.0,9.0,20.0,3.0,25.0,1.0,2.0,5.0,18.0,,,
2012-07-30,16.0,11.0,,,21.0,,5.0,8.0,18.0,25.0,12.0,23.0,1.0,6.0,7.0,13.0,2.0,4.0,19.0,9.0,3.0,17.0,10.0,22.0,15.0,14.0,24.0,20.0,,,
2012-08-06,5.0,24.0,,,18.0,,4.0,9.0,10.0,22.0,13.0,20.0,7.0,15.0,8.0,23.0,11.0,6.0,17.0,2.0,19.0,16.0,25.0,3.0,14.0,21.0,1.0,12.0,,,
2012-08-13,22.0,23.0,,,7.0,,18.0,6.0,16.0,4.0,10.0,21.0,2.0,8.0,12.0,20.0,19.0,14.0,24.0,13.0,25.0,5.0,15.0,11.0,9.0,17.0,3.0,1.0,,,
2012-08-20,1.0,6.0,,,18.0,,23.0,24.0,14.0,7.0,19.0,22.0,16.0,9.0,4.0,2.0,10.0,12.0,13.0,8.0,25.0,3.0,20.0,21.0,15.0,17.0,5.0,11.0,,,
2012-08-27,2.0,11.0,,,19.0,,23.0,10.0,21.0,9.0,7.0,22.0,6.0,17.0,8.0,15.0,14.0,5.0,18.0,25.0,3.0,13.0,16.0,12.0,20.0,4.0,1.0,24.0,,,
2012-09-03,23.0,25.0,,,5.0,,4.0,17.0,24.0,15.0,8.0,12.0,22.0,19.0,21.0,18.0,10.0,11.0,20.0,3.0,6.0,7.0,9.0,1.0,2.0,16.0,13.0,14.0,,,
2012-09-10,5.0,21.0,,,12.0,,7.0,25.0,19.0,24.0,17.0,2.0,22.0,10.0,23.0,18.0,14.0,9.0,13.0,4.0,11.0,8.0,15.0,1.0,6.0,3.0,20.0,16.0,,,
