date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-01-02,0.0,,0.0435,,,,,,,,,0.0059,,,,,0.0,,-0.0404,,,,,,,0.0,,,,,0.0303
2012-01-03,0.0208,0.0,,,,0.008,0.0,,,,,0.0576,0.0163,-0.0267,,,,,-0.0572,0.0088,,,-0.0175,,,,0.0492,0.0,,,0.0951
2012-01-04,0.0368,,0.1494,,0.0,-0.0081,0.025,-0.1082,0.0187,0.0,0.0,0.0,-0.0049,-0.0019,0.005,0.0242,0.0093,-0.1149,-0.0437,-0.0334,0.0145,0.0646,-0.0253,-0.0536,0.0224,,0.0344,0.0,0.0,,0.2985
2012-01-05,0.0931,,0.2345,,-0.0032,0.0102,0.0653,-0.1305,-0.0392,0.0056,0.0035,0.0659,0.0144,0.0779,-0.0368,-0.0951,0.0087,0.0,0.018,0.0852,0.0,-0.0109,0.0164,0.0,0.0109,0.0,0.0414,-0.0375,0.0,0.032,0.3131
2012-01-06,0.0639,0.0,0.2162,,0.0313,-0.0196,0.0,0.0454,0.0239,0.0091,0.011,0.0113,,-0.0883,0.0,-0.0037,,0.0104,-0.1275,0.0296,0.0767,-0.0499,0.0029,-0.0035,0.0109,0.0,0.0,0.0158,0.0147,0.0,0.3833
2012-01-07,0.0304,,0.0908,,-0.001,0.0012,-0.0076,-0.0269,0.0179,0.0366,,0.0213,-0.0071,-0.0163,0.0,0.1021,-0.0082,,-0.1776,0.0222,0.0,0.0,0.0,-0.0233,0.0,0.0,,0.0,,0.0323,0.2953
2012-01-08,,,,,-0.001,,,,,0.0126,,0.0,,0.0,,0.0,,,-0.1,,,,,-0.024,,0.0,,,,,0.0398
2012-01-09,0.0,,0.0635,,,,,,,,,,,,,,0.0,,0.0005,,,,,,,0.0,,,,,0.0425
2012-01-10,0.1073,,0.3105,,-0.0065,0.0025,0.0,-0.0313,0.014,0.0086,,0.0137,-0.0035,0.0284,0.0,0.0346,0.0622,0.0303,-0.2309,0.0714,0.0337,-0.02,-0.0363,-0.0292,0.0,0.0044,0.0101,0.0,,0.0837,0.4774
2012-01-11,0.0633,-0.0229,0.3365,0.0,0.0069,-0.0009,-0.0061,-0.0334,0.019,0.0122,,0.025,,0.0167,0.0,0.0283,0.0742,0.157,-0.0154,0.0062,0.0,-0.0214,0.0,0.0,0.0096,0.0406,0.0332,0.0,,0.1114,0.4567
2012-01-12,0.0938,0.0158,0.0737,,0.0,-0.011,-0.017,-0.0971,0.0386,0.0091,-0.0031,0.0263,-0.0101,0.0148,0.0,0.0,,-0.0069,-0.1767,0.0309,0.0,-0.0547,,-0.0098,0.0,0.0,0.0996,0.0,,-0.0039,0.3492
2012-01-13,-0.0307,0.0096,0.1362,,0.0,0.0007,0.0,-0.0047,,0.0091,0.0061,0.0195,-0.0029,0.0085,0.0206,0.0742,0.038,0.0556,-0.0203,0.0123,0.0,-0.0262,-0.0007,-0.0626,0.0,-0.0079,0.0,0.0,,,0.3701
2012-01-14,0.0658,-0.0059,0.3026,,0.0302,-0.0388,-0.0038,-0.0797,0.009,0.0093,0.0,0.0527,-0.0172,0.0134,0.0,-0.0203,0.0067,-0.0059,-0.0528,0.0329,0.0222,-0.017,0.0,-0.0117,-0.0149,-0.0076,0.0143,0.0,,0.0207,0.2058
2012-01-15,,,-0.1035,,,,0.0,,,,,0.0,,,,0.0094,,0.0,-0.2366,,,,,,,,,,,,-0.0206
2012-01-16,0.0,,0.0435,,,,,,,,,,,,,,0.0,,-0.0767,,,,,,,0.0,,,,,0.0381
2012-01-17,-0.0291,,0.1473,,,0.0004,,-0.0959,,0.0091,-0.014,0.0195,-0.0022,,,0.0094,0.0,0.022,0.0369,-0.0011,0.0056,,-0.0194,,0.0026,0.0,-0.0229,0.0,-0.0033,,0.4312
2012-01-18,0.1001,,0.2579,0.0118,0.0928,-0.0044,0.0,0.0,0.0365,0.0049,-0.0011,0.0407,0.0035,0.0842,0.0,0.0,0.0085,0.0051,-0.0567,0.1039,0.0107,-0.0168,-0.0389,0.0,0.0,0.0106,0.0,0.0,0.0349,0.0149,0.3508
2012-01-19,0.1723,0.0025,0.1786,,0.0759,0.0068,0.0,0.0,0.0187,0.0095,0.0017,0.0861,-0.0023,-0.0057,0.0,-0.0244,,0.0164,-0.0124,0.0648,0.018,-0.0092,0.0,-0.001,0.0,0.0244,0.0196,0.0,,0.0036,0.3299
2012-01-20,0.1526,0.0,0.169,,0.0,-0.001,0.0044,0.015,0.006,0.0276,0.0017,-0.0183,-0.0051,0.0574,0.0,0.0,0.0416,0.0,0.0421,-0.0184,0.0,0.0061,0.0286,0.0537,-0.0546,0.0,0.0092,-0.033,,0.022,0.2731
2012-01-21,0.0245,-0.0124,0.0557,,0.0157,0.0113,0.0,-0.0213,,0.0105,,0.0678,0.0071,-0.0257,0.0,,,-0.0608,-0.0859,0.0162,0.0,-0.0673,0.0064,0.0182,0.0,0.0,0.0191,0.0,,,0.1909
2012-01-22,,,0.0099,,,,,,0.0055,,,,,0.0105,,,,,-0.1839,,,,,,,,,,,,-0.0108
2012-01-23,0.0,,0.0435,,,,,,,,,,,,,,0.0,,-0.1667,,,,,,,0.0,,,,,-0.0068
2012-01-24,0.0699,,0.2693,,0.0,-0.0028,0.0204,0.0,0.048,0.0164,0.0156,0.0296,-0.0056,0.0315,0.0,-0.0606,,0.0181,0.0664,0.025,0.0,-0.0354,,-0.0179,0.0,,0.0,0.0,,0.0521,0.4145
2012-01-25,0.0525,0.012,0.1866,0.0,0.0313,-0.0131,0.0712,-0.0107,,0.0008,0.0216,0.0794,-0.0056,-0.0944,0.003,-0.0762,,-0.0025,-0.0281,0.0295,0.0,0.0082,-0.0271,0.0,0.0,0.0294,0.0112,0.0,,0.0211,0.3654
2012-01-26,0.1775,-0.0474,0.2476,,0.0604,-0.0018,0.0012,-0.0168,-0.0224,-0.0017,0.0055,0.0378,-0.0085,-0.0153,0.0,-0.0589,0.0173,-0.0052,0.0885,0.0339,0.1929,,0.0202,0.0,0.0,0.0049,-0.0033,0.0,,,0.3285
2012-01-27,-0.0277,0.0107,0.1579,,0.016,-0.0014,-0.0089,0.0025,,0.0019,,0.0194,-0.0027,0.0482,0.0,-0.0527,0.0295,0.0222,-0.1127,-0.0069,0.0271,-0.0505,-0.0308,0.0,0.019,0.0,0.0,0.0,,0.0074,0.2712
2012-01-28,0.1311,0.0,0.2908,,0.0041,-0.0094,-0.009,-0.0388,-0.0013,0.0015,-0.013,0.0,,-0.0079,0.0,0.0,0.0208,0.0,-0.1127,-0.0025,-0.0181,-0.0375,-0.003,0.0109,0.0,0.0,,0.0,,-0.0306,0.2393
2012-01-29,0.0,,-0.0049,,,,,,,,,,,0.0,,,,,-0.1268,,-0.0951,,,,,,,,,,0.0121
2012-01-30,0.0,,0.046,,,,,,,,,,,,,,0.0,,-0.0777,,,,,,,0.0,,,,,0.0224
2012-01-31,0.0156,0.0206,0.0356,,0.0313,-0.0084,0.0182,0.02,,0.0,,0.0182,-0.0029,0.0129,0.0,-0.0028,,0.0198,-0.0344,0.0441,0.0,-0.0399,,0.0,0.0,0.0,0.0288,0.0,,-0.0433,0.3181
2012-02-01,0.0754,,0.0401,,-0.009,-0.0082,0.0,0.0196,0.0434,-0.0028,,0.0338,,0.015,0.0,0.0658,0.0112,0.0627,0.0405,0.0635,0.0,-0.0051,0.0,0.0196,0.0056,0.0,0.0332,-0.0097,,0.0191,0.4025
2012-02-02,-0.0175,0.0,0.1549,,0.0,0.0347,0.0302,-0.0154,-0.0971,,-0.0019,0.0572,,0.0661,,0.0289,0.0436,0.1234,0.1141,,0.0323,,,0.0103,0.0008,0.0,0.0256,0.0,,0.006,0.3397
2012-02-03,-0.0035,-0.0082,0.1787,0.0,0.0,0.0221,0.0229,0.0149,-0.0582,0.0,,0.0062,0.0286,-0.0761,,0.0732,0.0087,-0.011,0.0454,0.0969,,-0.0257,-0.0156,0.0,0.013,-0.0041,0.025,0.0,,0.0027,0.2869
2012-02-04,0.0045,0.0138,0.0015,,-0.03,0.0044,0.0,-0.0095,0.006,0.0008,0.0,0.0128,,-0.0324,-0.003,0.0074,-0.0376,0.0756,-0.0022,0.0193,-0.0141,0.0058,0.0,0.0,0.0,0.0,-0.003,0.0,,,0.2299
2012-02-05,,,0.001,,,,,,,,,,,,,,,,-0.0095,,,,,,,,,,,,0.0052
2012-02-06,0.0,,0.0435,,,,,,,,,,,,,,0.0,,-0.1592,,,,,,,0.0,,,,,0.0113
2012-02-07,0.0194,0.032,-0.0199,-0.0053,0.0162,-0.0108,0.0,,0.0196,-0.0003,0.0511,-0.0089,-0.0124,-0.0415,-0.0611,0.0126,,0.0376,-0.0374,0.0485,0.0425,0.035,-0.0065,0.0,0.0034,-0.0115,0.029,0.0,0.0233,0.0378,0.3795
2012-02-08,0.0623,0.0116,0.0757,,0.0115,-0.0776,-0.0155,0.0,0.0483,-0.0067,-0.018,0.0248,-0.0478,-0.0116,-0.0804,0.027,,0.1132,0.1471,0.0443,0.0051,-0.0166,-0.0111,0.0,0.0008,0.0,0.0086,0.0,,0.0265,0.3716
2012-02-09,-0.0078,,0.1653,,0.0076,0.0355,-0.0186,-0.0176,0.0273,0.012,0.0,0.0608,,0.0293,0.0,0.0,0.0,0.0985,-0.034,0.0276,0.0357,-0.1145,-0.0103,0.0669,-0.0146,0.0,-0.0317,0.0,-0.0053,0.0273,0.4185
2012-02-10,0.0314,-0.005,0.021,-0.0455,0.0,,0.0,0.0,0.0458,0.0112,0.0079,0.0097,-0.0026,0.0,0.0,,-0.0041,0.0294,-0.0757,0.025,0.0,-0.02,0.0,0.0,0.0,0.0,0.0233,0.0,,,0.2974
2012-02-11,-0.0257,0.0297,-0.0165,,0.0,,0.0,,,0.0,,0.0267,-0.0148,,0.0,0.0078,,0.0,-0.0835,0.0209,0.0,-0.005,-0.0058,0.0,0.0026,-0.0164,,-0.0508,,-0.0057,0.1547
2012-02-12,-0.0314,,0.0032,,,,,,,,0.0,,,,0.0087,,,,-0.1757,,0.0147,,,,0.007,,,,,,0.0141
2012-02-13,0.0,,0.0553,,,,,0.0455,,,,,,,,,0.0,,-0.0274,,,,,0.0045,,0.0,,,,,0.0059
2012-02-14,0.0074,0.0137,0.2167,-0.0118,0.0007,0.0111,0.0,0.0627,,0.0017,0.0149,0.0803,-0.0033,0.0335,0.0087,0.0848,,0.0476,0.0572,0.092,-0.0334,-0.009,-0.0464,0.0,0.0233,0.0,-0.0156,0.0,,,0.3592
2012-02-15,0.0466,-0.0279,0.2621,0.0,0.0125,0.025,0.0,-0.1097,0.0255,0.0024,0.0023,0.0007,,0.054,0.0,0.0,,0.0269,0.038,0.0197,0.0099,-0.0544,0.0069,0.0071,0.0,0.0,0.0348,0.0,0.0016,0.0171,0.3346
2012-02-16,0.0482,0.0119,0.1787,,0.0075,-0.0302,0.0214,-0.002,0.0085,0.0111,0.0083,-0.007,,-0.0604,0.0,-0.0064,0.0253,0.073,0.0457,0.0936,-0.029,-0.0078,,-0.0349,-0.1245,-0.0016,0.0,-0.0161,-0.0078,-0.011,0.3069
2012-02-17,0.1109,0.0234,0.2287,,-0.0073,-0.0299,0.0279,0.0746,,0.0143,,0.0188,,0.0223,0.0,0.0,-0.0435,0.0352,-0.0717,0.0435,0.0,-0.112,-0.0491,0.0108,0.0,-0.0075,0.0443,0.0,0.0008,0.0388,0.2745
2012-02-18,0.0562,0.0426,-0.0032,,0.1016,0.0322,0.0244,0.0145,0.0217,0.0,,0.0916,-0.0027,-0.0092,0.0,-0.0023,0.0223,0.0246,0.0408,0.0191,0.0,-0.0243,0.0,0.0,0.0,0.0,0.0292,0.0,0.0,0.0124,0.1905
2012-02-19,,,0.0109,,,,,,,,,,,,,,,,-0.0797,,,,,,,,,,,,0.0429
2012-02-20,-0.0021,-0.002,0.0649,0.0,,-0.0023,,,,-0.0021,,,,,,,0.0,,-0.217,,,,,,,0.0,,,,,0.0247
2012-02-21,0.0719,,0.1274,,,,,-0.0501,-0.0021,,0.0043,0.0066,-0.0024,0.0433,,0.0213,0.001,-0.0499,-0.1192,,0.0,,0.0,,0.0,0.0,-0.0115,0.0269,,,0.3457
2012-02-22,0.043,0.0082,0.2915,-0.0019,0.0171,0.0133,-0.0746,,0.1048,0.0044,,-0.0309,-0.002,0.0179,0.0,0.0233,0.0225,0.0616,0.0138,0.0218,0.0346,-0.0625,0.0664,0.0,0.0,0.0,0.0158,0.0,0.0161,0.0,0.4549
2012-02-23,0.0484,-0.0013,0.2479,0.0,0.0921,-0.0252,0.0171,-0.0605,0.0193,0.0179,,0.0526,0.0,0.0382,-0.002,-0.0096,0.012,0.0358,-0.0277,0.0333,0.0644,-0.1193,-0.055,-0.0157,0.0261,-0.0771,-0.0388,0.0,-0.0089,0.028,0.3736
2012-02-24,0.0368,,0.2691,,0.012,-0.0011,-0.0165,0.0,0.0189,0.0242,-0.0006,0.0298,-0.0025,0.0322,0.0105,0.0191,,-0.0372,0.0351,0.0546,0.0289,0.0066,-0.0021,-0.0028,-0.0049,-0.0814,,0.0,,0.0196,0.3876
2012-02-25,0.0215,0.0,0.0907,-0.0275,0.0315,-0.0145,0.0,0.0,0.0,0.0017,,0.0436,-0.0057,-0.0612,0.0,0.0417,0.0489,-0.0022,-0.1307,0.0037,-0.0147,0.0007,,0.0,0.0,0.0,-0.0021,-0.002,,0.0048,0.1439
2012-02-26,0.05,,-0.0048,,0.0046,,,,,,,0.0032,,-0.0095,,,,0.0,-0.1412,,,,,,,,,0.0,,,0.0462
2012-02-27,-0.0225,,0.0435,,,,,,,,,,,,,,0.0,,-0.1241,,,,,,,0.0,,,,,0.0635
2012-02-28,0.1074,0.0145,0.1843,0.0288,0.0359,0.0013,-0.1546,,-0.0048,0.0053,-0.0146,0.125,-0.0033,-0.001,0.0214,-0.0196,0.0275,0.097,-0.0114,0.0693,0.0034,-0.0638,,0.0001,0.0035,-0.0137,0.0332,0.0,0.0191,-0.0593,0.3799
