year,week,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012,1,3.0,16.0,14.0,27.0,28.0,7.0,29.0,1.0,21.0,23.0,24.0,6.0,12.0,22.0,11.0,2.0,9.0,20.0,8.0,30.0,15.0,25.0,26.0,19.0,18.0,4.0,31.0,17.0,10.0,5.0,13.0
2012,2,21.0,18.0,4.0,27.0,28.0,2.0,29.0,26.0,6.0,11.0,16.0,14.0,23.0,8.0,17.0,15.0,10.0,20.0,5.0,30.0,12.0,13.0,22.0,19.0,7.0,25.0,31.0,1.0,3.0,24.0,9.0
2012,3,4.0,21.0,15.0,27.0,28.0,11.0,29.0,26.0,14.0,17.0,13.0,5.0,2.0,19.0,10.0,12.0,6.0,8.0,16.0,30.0,23.0,3.0,20.0,1.0,18.0,25.0,31.0,22.0,7.0,24.0,9.0
2012,4,22.0,6.0,8.0,27.0,28.0,18.0,29.0,1.0,2.0,15.0,17.0,9.0,25.0,10.0,23.0,24.0,12.0,13.0,5.0,30.0,11.0,26.0,4.0,21.0,7.0,16.0,31.0,20.0,3.0,19.0,14.0
2012,5,3.0,17.0,11.0,27.0,28.0,6.0,29.0,13.0,19.0,14.0,25.0,18.0,15.0,1.0,16.0,5.0,23.0,20.0,7.0,30.0,24.0,26.0,10.0,12.0,21.0,22.0,31.0,9.0,2.0,4.0,8.0
2012,6,26.0,17.0,4.0,27.0,28.0,23.0,29.0,22.0,21.0,19.0,10.0,12.0,13.0,14.0,25.0,15.0,11.0,6.0,8.0,30.0,9.0,3.0,18.0,24.0,1.0,2.0,31.0,7.0,5.0,16.0,20.0
2012,7,25.0,24.0,16.0,27.0,28.0,7.0,29.0,26.0,15.0,13.0,9.0,6.0,22.0,5.0,8.0,14.0,12.0,10.0,17.0,30.0,19.0,21.0,18.0,2.0,20.0,4.0,31.0,3.0,23.0,1.0,11.0
2012,8,5.0,14.0,8.0,27.0,28.0,18.0,29.0,10.0,19.0,9.0,17.0,11.0,20.0,15.0,3.0,7.0,22.0,12.0,6.0,30.0,16.0,26.0,24.0,23.0,21.0,4.0,31.0,13.0,1.0,25.0,2.0
2012,9,6.0,10.0,11.0,27.0,28.0,25.0,29.0,9.0,24.0,18.0,14.0,7.0,4.0,1.0,15.0,5.0,8.0,21.0,20.0,30.0,13.0,26.0,22.0,19.0,12.0,23.0,31.0,16.0,2.0,3.0,17.0
2012,10,1.0,5.0,14.0,27.0,28.0,7.0,29.0,24.0,19.0,15.0,16.0,2.0,25.0,11.0,12.0,6.0,22.0,8.0,23.0,30.0,13.0,21.0,10.0,18.0,9.0,17.0,31.0,20.0,3.0,26.0,4.0
2012,11,26.0,8.0,13.0,27.0,28.0,11.0,29.0,3.0,12.0,24.0,21.0,25.0,1.0,15.0,2.0,19.0,6.0,9.0,7.0,30.0,23.0,18.0,10.0,4.0,20.0,14.0,31.0,5.0,22.0,17.0,16.0
2012,12,5.0,17.0,9.0,27.0,28.0,6.0,29.0,14.0,18.0,13.0,21.0,2.0,15.0,1.0,24.0,12.0,16.0,20.0,23.0,30.0,11.0,22.0,7.0,3.0,8.0,26.0,31.0,25.0,4.0,10.0,19.0
2012,13,9.0,4.0,13.0,27.0,28.0,7.0,29.0,1.0,6.0,14.0,16.0,12.0,21.0,19.0,5.0,15.0,2.0,10.0,20.0,30.0,8.0,25.0,18.0,24.0,17.0,26.0,31.0,22.0,3.0,23.0,11.0
