date,AGM,AUD,CASH,CHS,FOR,INTL,PRO,PX,SD,SENS,STAR,WTI
2012-01-02,,0.0,,,,,,0.0,,,,
2012-01-03,,0.0,,,,,,100.0,,,,
2012-01-04,0.0,0.0,35.5769,,0.0,48.3763,100.0,75.0,0.0,23.5795,50.0,0.0
2012-01-05,,0.0,38.8024,100.0,33.3333,100.0,,0.0,93.0392,24.7653,,0.0
2012-01-06,,0.0,23.93,,34.8788,29.4235,,100.0,82.4897,13.9286,0.0,0.0
2012-01-07,,0.0,0.0,75.0,8.3548,,,0.0,62.1083,18.5682,0.0,0.0
2012-01-08,,,0.0,,,,,,0.0,,,
2012-01-09,,0.0,,,,,,,,,,
2012-01-10,,0.0,75.2434,,0.0,100.0,,47.075,81.0847,27.6949,0.0,0.0
2012-01-11,66.6667,0.0,8.6235,,67.5841,0.0,,100.0,79.9759,5.1807,81.4471,0.0
2012-01-12,33.3333,0.0,19.5286,,0.0,33.906,,0.0,0.0,15.625,0.0,0.0
2012-01-13,0.0,0.0,50.3717,47.8481,64.295,0.0,71.8529,100.0,0.0,20.3797,100.0,0.0
2012-01-14,65.9341,0.0,84.6154,,65.628,,,0.0,0.0,8.4399,0.0,33.0579
2012-01-15,,,,,,,,,0.0,,,
2012-01-16,,0.0,,,,,,,,,,
2012-01-17,0.0,0.0,100.0,,50.8151,0.0,,0.0,59.9548,7.9465,88.9632,0.0
2012-01-18,0.0,0.0,45.7406,100.0,0.0,0.0,87.536,66.6667,0.0,47.8261,74.9451,95.8589
2012-01-19,0.0,0.0,35.7695,0.0,8.131,31.3765,,50.0,0.0,8.5314,0.0,0.0
2012-01-20,100.0,0.0,39.6149,,20.7581,40.7646,,100.0,0.0,8.4365,38.9512,50.0
2012-01-21,37.7181,0.0,44.5431,,35.0026,41.1506,,90.1316,0.0,6.4189,0.0,0.0
2012-01-22,,,,,,50.0,,0.0,,,,
2012-01-23,,0.0,,,,,,0.0,,,,
2012-01-24,0.0,0.0,56.917,,100.0,50.0,100.0,100.0,0.0,20.6211,100.0,0.0
2012-01-25,0.0,0.0,44.2248,,28.9112,26.5924,100.0,43.3809,51.8868,0.0,0.0,0.0
2012-01-26,,0.0,30.2495,,65.313,27.0042,88.5996,48.0916,91.7714,38.9423,,0.0
2012-01-27,0.0,0.0,31.9444,0.0,49.3789,,,0.0,0.0,20.0207,0.0,0.0
2012-01-28,,0.0,39.3329,33.7589,24.5016,,,33.3122,0.0,0.0,,0.0
2012-01-29,,,,,,,,,100.0,,,
2012-01-30,,0.0,,,,,,,,,,
2012-01-31,37.8076,0.0,32.8638,0.0,19.8886,32.5581,69.9275,0.0,0.0,15.5944,,0.0
2012-02-01,78.956,0.0,25.7813,83.2618,35.004,26.973,95.2244,0.0,88.0131,11.127,100.0,22.0339
2012-02-02,,0.0,24.4845,75.0,,28.7855,80.6841,67.4208,34.2408,23.4463,23.2558,0.0
2012-02-03,77.5378,0.0,20.3473,52.0548,11.8293,5.8076,,0.0,20.0976,5.7229,0.0,0.0
2012-02-04,56.6775,0.0,23.2632,100.0,26.5183,19.8795,,0.0,0.0,5.1557,,0.0
2012-02-05,,,,,19.8864,,,0.0,,,,
2012-02-06,,0.0,,,,,,0.0,,,,
2012-02-07,14.1892,0.0,31.7314,,15.5891,47.0687,,0.0,0.0,20.034,,0.0
2012-02-08,100.0,0.0,30.6996,,19.7442,,75.0,0.0,0.0,20.0,66.5065,40.4082
2012-02-09,73.6325,0.0,30.9744,,11.4891,6.3385,66.8182,0.0,0.0,5.5186,0.0,53.9394
2012-02-10,,0.0,22.9365,79.8913,14.786,25.0549,27.9485,0.0,77.3994,0.0,0.0,80.0
2012-02-11,,0.0,33.6085,,17.5369,,,0.0,0.0,33.4764,,0.0
2012-02-13,,0.0,,,,,,,,,,
2012-02-14,0.0,0.0,42.5156,96.25,17.9891,15.9797,79.9392,20.0,0.0,33.0972,0.0,0.0
2012-02-15,100.0,0.0,44.4676,100.0,17.4082,46.9086,65.4244,30.2035,0.0,27.7372,88.3105,0.0
2012-02-16,65.1391,0.0,35.6362,66.6667,21.6555,39.1979,89.8947,32.0276,12.766,29.636,0.0,60.3774
2012-02-17,83.3043,0.0,24.2744,,18.0672,27.6923,98.5393,50.0,0.0,20.1691,100.0,0.0
2012-02-18,,0.0,41.9216,0.0,19.3267,46.3734,88.9571,0.0,87.3857,17.9789,0.0,0.0
2012-02-19,,,,,,,,,0.0,,,
2012-02-20,,0.0,,,,,,,,,,
2012-02-21,0.0,0.0,55.0403,0.0,31.009,39.7408,66.7598,0.0,,20.4046,100.0,0.0
