date,AGM,AUD,CASH,CHS,FOR,INTL,PRO,PX,SD,SENS,STAR,WTI
2012-01-02,,0.0,,,,,,0.0,,,,
2012-01-03,,0.0,,,,,,0.0,,,,
2012-01-04,0.0,0.0,0.0068,,0.0,0.0256,0.0,0.0056,0.0063,0.01,0.0294,0.0
2012-01-05,,0.0,0.0059,0.0,0.0052,0.0,,0.0,0.0024,0.0133,,0.0
2012-01-06,,0.0,0.0053,,0.0309,0.0259,,0.0,0.0018,0.0118,0.0,0.0
2012-01-07,,0.0,0.003,0.0082,0.0251,,,0.0102,0.0032,0.0114,0.0,0.0
2012-01-08,,,0.0,,,,,,0.0059,,,
2012-01-09,,0.0,,,,,,,,,,
2012-01-10,,0.0,0.0015,,0.0043,0.0,,0.003,0.0003,0.0138,0.0241,0.0
2012-01-11,0.0058,0.0,0.0142,,0.0157,0.0,,0.0,0.0026,0.0111,0.0082,0.0
2012-01-12,0.0054,0.0,0.0103,,0.0,0.0307,,0.0,0.0035,0.0109,0.0,0.0
2012-01-13,0.0,0.0,0.0046,0.0412,0.0157,0.0226,0.0114,0.0,0.0,0.0119,0.0,0.0
2012-01-14,0.0025,0.0,0.0003,,0.0135,,,0.0148,0.0023,0.0102,0.0,0.004
2012-01-15,,,,,,,,,0.0,,,
2012-01-16,,0.0,,,,,,,,,,
2012-01-17,0.0,0.0,0.0,,0.0215,0.0,,0.0,0.0177,0.0168,0.0057,0.0
2012-01-18,0.0,0.0,0.0099,0.0,0.0,0.0067,0.0041,0.0048,0.0026,0.0122,0.0114,0.0017
2012-01-19,0.0089,0.0,0.0122,0.0,0.0354,0.0298,,0.0132,0.0015,0.0135,0.0127,0.0
2012-01-20,0.0,0.0,0.0066,,0.029,0.03,,0.0,0.0053,0.0109,0.0333,0.001
2012-01-21,0.0077,0.0,0.0032,,0.0139,0.0324,,0.0013,0.0025,0.012,0.0303,0.0
2012-01-22,,,,,,0.0087,,0.0,,,,
2012-01-23,,0.0,,,,,,0.0,,,,
2012-01-24,0.0,0.0,0.0031,,0.0,0.0172,0.0,0.0,0.0026,0.0158,0.0,0.0
2012-01-25,0.0,0.0,0.0047,,0.0657,0.0158,0.0,0.0047,0.0043,0.0208,0.0,0.0
2012-01-26,,0.0,0.0168,,0.005,0.0265,0.0053,0.0089,0.0006,0.0081,,0.001
2012-01-27,0.0,0.0,0.0108,0.0,0.024,,,0.0,0.0069,0.0173,0.0,0.0
2012-01-28,,0.0,0.0076,0.0285,0.0362,,,0.0075,0.0353,0.0129,,0.0
2012-01-29,,,,,,,,,0.0,,,
2012-01-30,,0.0,,,,,,,,,,
2012-01-31,0.0373,0.0,0.0035,0.0345,0.026,0.0408,0.0083,0.0,0.0039,0.0115,,0.0
2012-02-01,0.0039,0.0,0.0088,0.0078,0.0269,0.0363,0.0022,0.0,0.0023,0.011,0.0,0.004
2012-02-02,,0.0,0.0214,0.007,,0.0287,0.0096,0.0099,0.0076,0.0129,0.0099,0.0
2012-02-03,0.0017,0.0,0.0144,0.0012,0.0286,0.0115,,0.0,0.0273,0.0119,0.0,0.0
2012-02-04,0.004,0.0,0.0067,0.0,0.0254,0.0087,,0.0,0.0034,0.0109,,0.0
2012-02-05,,,,,0.0141,,,0.0,,,,
2012-02-06,,0.0,,,,,,0.0,,,,
2012-02-07,0.0013,0.0,0.008,,0.0517,0.0316,,0.0,0.0074,0.0134,,0.0026
2012-02-08,0.0,0.0,0.0128,,0.0298,,0.0047,0.0,0.0042,0.017,0.0111,0.0073
2012-02-09,0.0064,0.0,0.0142,,0.0319,0.026,0.0073,0.0031,0.0086,0.0199,0.0,0.004
2012-02-10,,0.0,0.0121,0.0037,0.0338,0.0341,0.0136,0.0047,0.0015,0.0124,0.0,0.0101
2012-02-11,,0.0,0.0119,,0.0218,,,0.0,0.0072,0.0155,,0.0
2012-02-13,,0.0,,,,,,,,,,
2012-02-14,0.0196,0.0,0.0104,0.0006,0.0234,0.0369,0.005,0.0191,0.0036,0.0123,0.0,0.0
2012-02-15,0.0,0.0,0.0132,0.0,0.0379,0.0086,0.0067,0.0091,0.0039,0.0108,0.0047,0.0
2012-02-16,0.0099,0.0,0.0083,0.0028,0.0265,0.0068,0.0021,0.0023,0.0034,0.0099,0.0,0.001
2012-02-17,0.0072,0.0,0.0148,,0.0147,0.0023,0.0006,0.0026,0.0062,0.0172,0.0,0.0
2012-02-18,,0.0,0.0074,0.0,0.0235,0.0068,0.0015,0.0,0.0015,0.0105,0.0,0.0
2012-02-19,,,,,,,,,0.0,,,
2012-02-20,,0.0,,,,,,,,,,
2012-02-21,0.0049,0.0,0.0028,0.0037,0.0256,0.0012,0.0048,0.0,,0.0121,0.0,0.0
2012-02-22,0.008,0.0,0.0079,0.011,0.0282,0.0106,0.0299,0.0031,0.0053,0.0114,0.0233,0.0
2012-02-23,0.0151,0.0,0.017,0.0105,0.0149,0.0251,0.0005,0.0,0.0162,0.0086,0.0,0.0
2012-02-24,0.0097,0.0,0.0146,0.005,0.0291,,0.0131,0.0051,0.0296,0.0126,0.0,0.006
2012-02-25,0.0187,0.0,0.009,0.0,0.0253,0.0082,,0.0,0.0046,0.0126,,0.011
2012-02-26,,,,,,,0.0,0.0,0.0,,,
2012-02-27,,0.0,,,,,,0.0,,,,
2012-02-28,0.0031,0.0,0.0077,0.0,0.027,0.0038,0.001,0.001,0.0111,0.0102,0.0,0.01
2012-02-29,0.0313,0.0,0.0103,0.0013,0.0296,0.0143,,0.0016,0.0063,0.0131,,0.006
2012-03-01,,0.0,0.0193,0.0061,0.0344,0.0072,0.0041,0.0,0.0023,0.0131,0.0,0.0
2012-03-02,0.007,0.0,0.0144,0.0008,0.034,0.0274,,0.1,0.0024,0.0113,0.0024,0.0
2012-03-03,0.0,0.0,0.0083,0.0,0.0337,0.0241,,0.0043,0.0044,0.0163,0.0,0.0
2012-03-04,,,,,,,,0.0,,,,
2012-03-05,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,
2012-03-06,0.0,0.0,0.0029,0.003,0.0255,0.002,,0.0,0.0048,0.0118,0.0,0.0
2012-03-07,0.0041,0.0,0.0123,0.0,0.0323,0.015,0.0041,0.0,0.0147,0.0153,0.0066,0.0
2012-03-08,0.0042,0.0,0.0176,0.0,0.0307,0.0391,0.0,0.0,0.0035,0.0109,,0.0
2012-03-09,0.0007,0.0,0.019,0.0016,0.0256,0.0109,0.015,0.0015,0.0035,0.013,0.0,0.0012
2012-03-10,0.0012,0.0,0.0066,0.0073,0.0274,0.0147,0.0264,,0.0025,0.0122,,0.0
2012-03-11,,,0.0108,,,,,,,,0.0,
2012-03-12,0.0,0.0,0.0,0.0,0.0,0.0124,0.0,0.0,,,,
2012-03-13,0.0051,0.0,0.0154,0.0011,0.0271,0.0064,0.0072,0.0024,0.0028,0.0131,0.0294,0.0
2012-03-14,0.0005,0.0,0.01,0.0013,0.0357,0.0145,0.0066,0.0,0.0055,0.0197,0.0061,0.0
