Date,AGM,AUD,CASH,CHS,FOR,PRO,PX,SD,SENS,STAR,WTI,INTL
2012-01-02,,,,,,,,,,,,
2012-01-09,3.0,2.0,4.0,5.0,7.0,6.0,,,,1.0,8.0,
2012-01-16,7.0,2.0,8.0,3.0,4.0,1.0,,,,5.0,6.0,
2012-01-23,4.0,7.0,1.0,8.0,2.0,6.0,,,,3.0,5.0,
2012-01-30,2.0,3.0,7.0,6.0,4.0,1.0,,,,5.0,8.0,
2012-02-06,7.0,6.0,4.0,3.0,5.0,1.0,,,,8.0,2.0,
2012-02-13,5.0,8.0,1.0,2.0,4.0,7.0,,,,6.0,3.0,
2012-02-20,8.0,6.0,3.0,1.0,7.0,5.0,,,,4.0,2.0,
2012-02-27,3.0,7.0,4.0,2.0,6.0,5.0,,,,1.0,8.0,
2012-03-05,1.0,8.0,7.0,5.0,3.0,2.0,,,,6.0,4.0,
2012-03-12,1.0,8.0,4.0,7.0,3.0,6.0,,,,2.0,5.0,
2012-03-19,5.0,1.0,7.0,2.0,6.0,4.0,,,,3.0,8.0,
2012-03-26,1.0,4.0,2.0,7.0,5.0,3.0,,,,6.0,8.0,
2012-04-02,7.0,6.0,1.0,2.0,4.0,5.0,,,,3.0,8.0,
2012-04-09,5.0,8.0,7.0,4.0,2.0,1.0,,,,3.0,6.0,
2012-04-16,1.0,4.0,5.0,3.0,6.0,2.0,,,,8.0,7.0,
2012-04-23,3.0,1.0,6.0,4.0,8.0,5.0,,,,7.0,2.0,
2012-04-30,1.0,8.0,3.0,6.0,2.0,5.0,,,,7.0,4.0,
2012-05-07,1.0,6.0,2.0,5.0,3.0,8.0,,,,4.0,7.0,
2012-05-14,2.0,5.0,3.0,1.0,7.0,4.0,,,,8.0,6.0,
2012-05-21,8.0,6.0,5.0,3.0,7.0,2.0,,,,4.0,1.0,
2012-05-28,5.0,2.0,1.0,6.0,7.0,8.0,,,,3.0,4.0,
2012-06-04,1.0,2.0,6.0,7.0,8.0,5.0,,,,4.0,3.0,
2012-06-11,3.0,1.0,6.0,7.0,2.0,5.0,,,,4.0,8.0,
2012-06-18,3.0,5.0,6.0,4.0,8.0,1.0,,,,2.0,7.0,
2012-06-25,7.0,2.0,8.0,4.0,6.0,5.0,,,,3.0,1.0,
2012-07-02,2.0,1.0,6.0,7.0,3.0,8.0,,,,5.0,4.0,
2012-07-09,5.0,4.0,1.0,3.0,7.0,8.0,,,,2.0,6.0,
2012-07-16,8.0,5.0,2.0,4.0,7.0,6.0,,,,3.0,1.0,
2012-07-23,5.0,8.0,2.0,1.0,7.0,3.0,,,,6.0,4.0,
2012-07-30,3.0,1.0,8.0,4.0,7.0,2.0,,,,6.0,5.0,
2012-08-06,8.0,6.0,1.0,5.0,3.0,7.0,,,,4.0,2.0,
2012-08-13,8.0,2.0,7.0,3.0,5.0,1.0,,,,4.0,6.0,
2012-08-20,5.0,8.0,4.0,2.0,1.0,3.0,,,,6.0,7.0,
2012-08-27,2.0,3.0,7.0,4.0,6.0,1.0,,,,5.0,8.0,
2012-09-03,8.0,7.0,5.0,6.0,2.0,3.0,,,,4.0,1.0,
2012-09-10,5.0,3.0,7.0,8.0,1.0,6.0,,,,2.0,4.0,
2012-09-17,3.0,2.0,6.0,5.0,7.0,1.0,,,,4.0,8.0,
2012-09-24,2.0,8.0,1.0,6.0,5.0,4.0,,,,3.0,7.0,
2012-10-01,3.0,1.0,6.0,2.0,4.0,5.0,,,,7.0,8.0,
2012-10-08,1.0,8.0,7.0,5.0,6.0,2.0,,,,3.0,4.0,
2012-10-15,3.0,8.0,4.0,1.0,6.0,7.0,,,,2.0,5.0,
2012-10-22,1.0,2.0,4.0,5.0,3.0,6.0,,,,7.0,8.0,
2012-10-29,6.0,7.0,1.0,3.0,8.0,4.0,,,,5.0,2.0,
2012-11-05,1.0,2.0,4.0,3.0,7.0,8.0,,,,6.0,5.0,
2012-11-12,1.0,3.0,2.0,5.0,6.0,4.0,,,,7.0,8.0,
2012-11-19,2.0,6.0,8.0,4.0,7.0,3.0,,,,5.0,1.0,
2012-11-26,4.0,7.0,3.0,6.0,1.0,2.0,,,,8.0,5.0,
