date,stock,RCV,RVT,positivePartscr,negativePartscr,splogscr,linscr
2012-01-02T00:00:00Z,PX,0,0.0014,0,0,0,0
2012-01-03T00:00:00Z,PX,16.667,0.0015,0.0068,0,0.0271,100
2012-01-04T00:00:00Z,PX,0,3e-4,0.0169,0.0056,0.0455,75
2012-01-05T00:00:00Z,PX,33.333,4e-4,0,0,0,0
2012-01-06T00:00:00Z,PX,26.667,4e-4,0.0032,0,0.0477,100
2012-01-07T00:00:00Z,PX,-7.692,4e-4,0,0.0102,-0.0385,0
2012-01-10T00:00:00Z,PX,-6.667,2e-4,0.0304,0.003,-0.004,47.075
2012-01-11T00:00:00Z,PX,44.231,4e-4,0.0021,0,0.0286,100
2012-01-12T00:00:00Z,PX,54.971,7e-4,0,0,0,0
2012-01-13T00:00:00Z,PX,35,5e-4,0.002,0,0.0271,100
2012-01-14T00:00:00Z,PX,-64.894,1e-4,0,0.0148,-0.0435,0
2012-01-17T00:00:00Z,PX,20.455,6e-4,0,0,0,0
2012-01-18T00:00:00Z,PX,-7.965,3e-4,0.0096,0.0048,0.0118,66.6667
2012-01-19T00:00:00Z,PX,-63.793,1e-4,0.0132,0.0132,0,50
2012-01-20T00:00:00Z,PX,16,3e-4,0.0174,0,0.0589,100
2012-01-21T00:00:00Z,PX,47.426,7e-4,0.0067,0.0013,0.0179,90.1316
2012-01-22T00:00:00Z,PX,-53.742,0.0018,0,0,0,0
2012-01-23T00:00:00Z,PX,-40.789,0.0011,0,0,0,0
2012-01-24T00:00:00Z,PX,56.641,8e-4,0.0034,0,0.011,100
2012-01-25T00:00:00Z,PX,-1.099,3e-4,0.0094,0.0047,-0.0062,43.3809
2012-01-26T00:00:00Z,PX,83.683,0.0025,0.0129,0.0089,-0.0128,48.0916
2012-01-27T00:00:00Z,PX,-25.564,3e-4,0,0,0,0
2012-01-28T00:00:00Z,PX,-8.664,4e-4,0.0037,0.0075,-0.0244,33.3122
2012-01-31T00:00:00Z,PX,-82.796,1e-4,0,0,0,0
2012-02-01T00:00:00Z,PX,3,3e-4,0,0,0,0
2012-01-05T00:00:00Z,CHS,0,1e-4,0.0064,0,0.0037,100
2012-01-07T00:00:00Z,CHS,0,2e-4,0.0246,0.0082,0.0081,75
2012-01-13T00:00:00Z,CHS,-57.142,0,0.0378,0.0412,-0.0016,47.8481
2012-01-18T00:00:00Z,CHS,31.25,1e-4,0.026,0,0.0254,100
2012-01-19T00:00:00Z,CHS,-58.333,0,0,0,0,0
2012-01-27T00:00:00Z,CHS,-14.284,1e-4,0,0,0,0
2012-01-28T00:00:00Z,CHS,19.047,1e-4,0.018,0.0285,-0.0214,33.7589
2012-01-31T00:00:00Z,CHS,-55.556,0,0,0.0345,-0.017,0
2012-02-01T00:00:00Z,CHS,-52.631,0,0.0388,0.0078,0.0151,83.2618
2012-01-04T00:00:00Z,AGM,0,1e-4,0,0,0,0
2012-01-11T00:00:00Z,AGM,0,1e-4,0.0115,0.0058,0.0038,66.6667
2012-01-12T00:00:00Z,AGM,0,1e-4,0.0027,0.0054,-0.0026,33.3333
2012-01-13T00:00:00Z,AGM,-42.857,0,0,0,0,0
2012-01-14T00:00:00Z,AGM,33.333,1e-4,0.005,0.0025,0.0043,65.9341
