date,ranking
2018-12-09,"['PCG', 'COO', 'KKR', 'CAR', 'GS', 'MO', 'TGT', 'AIG', 'RF', 'BAC', 'GE', 'C', 'AMZN', 'FDX', 'DAL', 'NFLX', 'NTRS', 'WMT', 'AAPL', 'CNC', 'UAL', 'GIS', 'AMD', 'CAT', 'POOL', 'UPS', 'ET', 'MS', 'GM', 'ABBV', 'JPM', 'CRM', 'CVS', 'WFC', 'HD', 'IT', 'DD', 'PFE', 'BLK', 'FB', 'LEA', 'ABT', 'UNH', 'INTC', 'GOOG', 'IBM', 'ORCL', 'NDAQ', 'ADP', 'MSFT', 'DE', 'LUV', 'MA', 'VZ', 'V', 'PM', 'WY', 'T', 'QCOM', 'USB', 'ABC', 'OKE', 'EA', 'MSCI', 'KR', 'AXP', 'CSCO', 'FE', 'ICE', 'MAR', 'IP', 'LNG', 'DIS', 'CMCSA', 'CME', 'CVX', 'PG', 'DUK', 'JNJ', 'TSLA', 'BMY', 'CMS', 'SO']"
2018-12-16,"['AAPL', 'FDX', 'TSLA', 'RF', 'MA', 'CRM', 'NOW', 'C', 'AMZN', 'GS', 'JNJ', 'AAL', 'FB', 'GE', 'WFC', 'GIS', 'BSX', 'AMD', 'ABC', 'CAT', 'OKE', 'MO', 'USB', 'LNG', 'BAC', 'ABT', 'XOM', 'MS', 'INTC', 'COO', 'DD', 'UPS', 'LEA', 'POOL', 'PCG', 'AIG', 'FE', 'ET', 'NKE', 'MSFT', 'CSCO', 'NTRS', 'CBOE', 'EA', 'HD', 'PSA', 'UNH', 'GOOG', 'JPM', 'MAR', 'DIS', 'PG', 'ICE', 'DAL', 'DE', 'IP', 'CME', 'IBM', 'CNC', 'VZ', 'F', 'T', 'IT', 'WMT', 'BLK', 'QCOM', 'MSCI', 'PFE', 'BK', 'NDAQ', 'GM']"
2018-12-23,"['FDX', 'PM', 'AMD', 'AMZN', 'CRM', 'ET', 'WY', 'MGM', 'AXP', 'C', 'CNC', 'CI', 'CVS', 'MA', 'NTRS', 'IT', 'UNH', 'FB', 'RF', 'NFLX', 'ABC', 'GD', 'CAR', 'OKE', 'CSCO', 'POOL', 'DAL', 'USB', 'CAT', 'XOM', 'COO', 'UPS', 'IP', 'WFC', 'IBM', 'TGT', 'CVX', 'F', 'MSFT', 'MSCI', 'BAC', 'HD', 'ABT', 'NDAQ', 'CE', 'KKR', 'UAL', 'AAPL', 'GM', 'JPM', 'LEA', 'LUV', 'CMCSA', 'GIS', 'GOOG', 'MS', 'DE', 'PG', 'BLK', 'MO', 'PFE', 'INTC', 'VZ', 'GS', 'MAR', 'JNJ', 'DIS', 'CBOE', 'WMT', 'ORCL', 'FE', 'QCOM', 'ICE', 'NKE', 'BMY', 'CMS', 'GE', 'DUK', 'CME', 'PSA']"
2018-12-30,"['FDX', 'C', 'UPS', 'DAL', 'AMZN', 'KKR', 'WFC', 'JPM', 'MS', 'NFLX', 'ET', 'BSX', 'IT', 'GS', 'TGT', 'AAPL', 'GOOG', 'GE', 'MA', 'FB', 'WMT', 'ABT', 'ORCL', 'MAR', 'XOM', 'ICE', 'T', 'IBM', 'VZ', 'TSLA', 'DIS', 'CME']"
2019-01-06,"['NFLX', 'JNJ', 'WFC', 'ET', 'C', 'GS', 'ABC', 'DAL', 'AMD', 'AMZN', 'XOM', 'GE', 'AXP', 'CVS', 'AAPL', 'MS', 'MO', 'T', 'BX', 'TSLA', 'JPM', 'BAC', 'LNG', 'FB', 'KKR', 'UNH', 'PG', 'IBM', 'MAR', 'CSCO', 'GIS', 'AAL', 'CVX', 'CMS', 'SO', 'V', 'ICE', 'PCG', 'BLK', 'MA', 'MCD', 'UAL', 'CRM', 'MSFT', 'DIS', 'INTC', 'VZ', 'GM', 'FE', 'COO', 'BSX', 'HD', 'CAT', 'KO', 'MSCI', 'NKE', 'WMT', 'PFE', 'CME', 'GOOG']"
2019-01-13,"['PCG', 'MGM', 'AMD', 'AMZN', 'ET', 'FB', 'AXP', 'NFLX', 'TSLA', 'CRM', 'GD', 'CVS', 'OKE', 'IP', 'MA', 'TGT', 'C', 'UNH', 'BK', 'LEA', 'ABC', 'USB', 'AAPL', 'GM', 'MSCI', 'BSX', 'NTRS', 'IBM', 'GS', 'IT', 'LUV', 'CBOE', 'NDAQ', 'GOOG', 'HD', 'F', 'UAL', 'DAL', 'DIS', 'PNC', 'MSFT', 'MO', 'GE', 'JPM', 'T', 'INTC', 'PG', 'LNG', 'ADP', 'COO', 'MS', 'ICE', 'BAC', 'ORCL', 'KKR', 'WMT', 'RF', 'SBUX', 'AAL', 'FE', 'DE', 'BMY', 'MAR', 'ABT', 'VZ', 'WFC', 'BLK', 'CMS', 'JNJ', 'CME', 'LLY', 'ABBV', 'CE', 'NKE']"
2019-01-20,"['PCG', 'NFLX', 'TSLA', 'GE', 'ET', 'MGM', 'LEA', 'GS', 'F', 'AMD', 'BAC', 'NOW', 'C', 'CRM', 'AMZN', 'EA', 'IP', 'KKR', 'RF', 'BK', 'FB', 'MSCI', 'LNG', 'PG', 'OKE', 'EBAY', 'AAL', 'NTRS', 'AIG', 'BSX', 'DFS', 'TGT', 'TSN', 'BMY', 'GM', 'MS', 'UAL', 'T', 'GOOG', 'CAR', 'UNH', 'WY', 'MA', 'HD', 'BLK', 'AAPL', 'LUV', 'PM', 'DE', 'WMT', 'QCOM', 'SO', 'POOL', 'NKE', 'USB', 'COO', 'ORCL', 'DD', 'INTC', 'CMS', 'IBM', 'CNC', 'DIS', 'CI', 'VZ', 'MAR', 'PNC', 'ICE', 'WFC', 'LLY', 'JPM', 'CVX', 'FDX', 'CME', 'MSFT', 'DAL', 'ABC', 'FE', 'CVS', 'NDAQ', 'MO', 'CMCSA', 'IT']"
2019-01-27,"['PCG', 'NFLX', 'BMY', 'GS', 'LEA', 'MO', 'C', 'BAC', 'ET', 'GM', 'GE', 'AAPL', 'OKE', 'AMD', 'TSLA', 'AMZN', 'RF', 'CRM', 'ABT', 'DAL', 'MSCI', 'IBM', 'EBAY', 'LUV', 'FB', 'GIS', 'FDX', 'T', 'IP', 'CNC', 'BSX', 'COO', 'INTC', 'F', 'PNC', 'MS', 'BLK', 'ORCL', 'JPM', 'BX', 'CAT', 'CE', 'WFC', 'XOM', 'CMCSA', 'ABC', 'UAL', 'PM', 'MSFT', 'USB', 'PSA', 'DD', 'NTRS', 'WMT', 'SO', 'MA', 'GOOG', 'CMS', 'POOL', 'AXP', 'VZ', 'AAL', 'UPS', 'CVS', 'ICE', 'CME', 'PG', 'DIS', 'HD', 'V', 'ADP', 'MAR', 'SBUX', 'KO', 'IT']"
2019-02-03,"['PCG', 'LEA', 'MO', 'CBOE', 'GE', 'NFLX', 'TSLA', 'BAC', 'AMD', 'CAR', 'DD', 'FB', 'GM', 'GS', 'C', 'PFE', 'EBAY', 'IBM', 'MGM', 'QCOM', 'COO', 'PG', 'CRM', 'ET', 'UAL', 'IP', 'LNG', 'CAT', 'CNC', 'EA', 'AAPL', 'MSCI', 'TSN', 'UNH', 'ICE', 'AAL', 'MSFT', 'MCD', 'LLY', 'USB', 'CME', 'RF', 'ABC', 'VZ', 'WFC', 'JNJ', 'AMZN', 'NTRS', 'MS', 'DAL', 'T', 'MA', 'INTC', 'WMT', 'FE', 'BSX', 'BX', 'CE', 'XOM', 'AIG', 'UPS', 'CVS', 'MAR', 'DE', 'HD', 'FDX', 'CI', 'SBUX', 'IT', 'DFS', 'DIS', 'V', 'GOOG', 'CMCSA', 'CVX', 'KR', 'POOL', 'CMS', 'JPM', 'PSA', 'BMY', 'ABT', 'DUK', 'ADP', 'BLK']"
2019-02-10,"['TSLA', 'AMD', 'GS', 'BAC', 'C', 'GE', 'F', 'BK', 'ET', 'FB', 'KKR', 'CI', 'AAL', 'TSN', 'MSCI', 'LEA', 'NTRS', 'OKE', 'PM', 'UAL', 'COO', 'WFC', 'EA', 'VZ', 'IBM', 'RF', 'MS', 'AAPL', 'MSFT', 'USB', 'JPM', 'NKE', 'PNC', 'CE', 'AMZN', 'CSCO', 'ADP', 'ABC', 'MGM', 'GOOG', 'FDX', 'BMY', 'PG', 'T', 'IT', 'NDAQ', 'WMT', 'ICE', 'MA', 'FE', 'LNG', 'GM', 'DUK', 'PFE', 'PSA', 'CME', 'DIS', 'MO', 'DAL', 'CRM', 'HON', 'LLY', 'CMCSA', 'MAR', 'CMS', 'IP', 'SO', 'NFLX', 'CVX', 'INTC', 'CVS', 'HD', 'KO']"
