date,ranking
2018-12-09,"['PCG', 'COO', 'KKR', 'CAR', 'TGT', 'GS', 'MO', 'RF', 'AAPL', 'NTRS', 'NFLX', 'AIG', 'BAC', 'DAL', 'WFC', 'UAL', 'GE', 'AMZN', 'WMT', 'C', 'GIS', 'ET', 'FDX', 'CNC', 'CAT', 'AMD', 'POOL', 'IT', 'ABBV', 'CVS', 'CRM', 'MS', 'BLK', 'HD', 'UPS', 'IBM', 'JPM', 'DD', 'DE', 'LEA', 'UNH', 'FB', 'ADP', 'USB', 'ORCL', 'NDAQ', 'GM', 'PFE', 'MSFT', 'ABT', 'ABC', 'AXP', 'WY', 'CME', 'LUV', 'PM', 'MAR', 'CSCO', 'GOOG', 'V', 'OKE', 'INTC', 'EA', 'MA', 'VZ', 'MSCI', 'QCOM', 'DIS', 'T', 'KR', 'IP', 'LNG', 'ICE', 'DUK', 'CMCSA', 'TSLA', 'CVX', 'FE', 'PG', 'SO', 'JNJ', 'BMY', 'CMS']"
2018-12-16,"['AAPL', 'TSLA', 'FDX', 'NOW', 'MA', 'CRM', 'RF', 'GS', 'AAL', 'C', 'AMZN', 'OKE', 'FB', 'BSX', 'AMD', 'JNJ', 'WFC', 'GE', 'CAT', 'ET', 'INTC', 'BAC', 'ABC', 'LEA', 'MSFT', 'XOM', 'CBOE', 'MO', 'USB', 'LNG', 'ABT', 'PCG', 'UPS', 'MS', 'VZ', 'MAR', 'CSCO', 'GIS', 'GOOG', 'CME', 'NKE', 'CNC', 'HD', 'DD', 'COO', 'PSA', 'FE', 'AIG', 'NTRS', 'IP', 'WMT', 'T', 'DE', 'EA', 'UNH', 'IT', 'IBM', 'JPM', 'PG', 'ICE', 'DAL', 'POOL', 'F', 'BLK', 'DIS', 'MSCI', 'PFE', 'GM', 'BK', 'NDAQ', 'QCOM']"
2018-12-23,"['FDX', 'WY', 'C', 'AMZN', 'AMD', 'ET', 'PM', 'CAR', 'CRM', 'NTRS', 'RF', 'CVS', 'ABC', 'AXP', 'MGM', 'DAL', 'POOL', 'CNC', 'UPS', 'MA', 'FB', 'NFLX', 'UNH', 'BAC', 'USB', 'GD', 'GS', 'WFC', 'CSCO', 'CI', 'IT', 'CAT', 'XOM', 'AAPL', 'OKE', 'MSFT', 'HD', 'IP', 'JPM', 'GM', 'IBM', 'ABT', 'KKR', 'MS', 'BLK', 'COO', 'TGT', 'CMCSA', 'LUV', 'F', 'GOOG', 'UAL', 'MSCI', 'JNJ', 'CVX', 'MAR', 'LEA', 'PFE', 'DE', 'INTC', 'NDAQ', 'GIS', 'MO', 'CBOE', 'ORCL', 'PG', 'ICE', 'CE', 'FE', 'DIS', 'GE', 'WMT', 'QCOM', 'BMY', 'VZ', 'CMS', 'NKE', 'DUK', 'CME', 'PSA']"
2018-12-30,"['FDX', 'UPS', 'KKR', 'C', 'MS', 'DAL', 'AMZN', 'WFC', 'AAPL', 'TGT', 'BSX', 'GS', 'ABT', 'JPM', 'IT', 'MA', 'GOOG', 'ORCL', 'WMT', 'NFLX', 'ICE', 'FB', 'IBM', 'XOM', 'MAR', 'GE', 'ET', 'VZ', 'TSLA', 'DIS', 'T', 'CME']"
2019-01-06,"['NFLX', 'WFC', 'GS', 'C', 'JNJ', 'ABC', 'DAL', 'AMZN', 'CVS', 'MS', 'BX', 'TSLA', 'BAC', 'XOM', 'AAPL', 'JPM', 'ET', 'GE', 'MO', 'ICE', 'KKR', 'CSCO', 'AMD', 'PG', 'AXP', 'T', 'UAL', 'PCG', 'UNH', 'IBM', 'BLK', 'FB', 'AAL', 'MA', 'MAR', 'CMS', 'FE', 'SO', 'GIS', 'MSCI', 'CRM', 'COO', 'LNG', 'VZ', 'MSFT', 'CVX', 'CAT', 'PFE', 'V', 'MCD', 'GM', 'GOOG', 'WMT', 'KO', 'INTC', 'NKE', 'BSX', 'DIS', 'HD', 'CME']"
2019-01-13,"['PCG', 'ET', 'MGM', 'AMD', 'AMZN', 'AXP', 'TSLA', 'FB', 'NFLX', 'GD', 'OKE', 'CRM', 'MA', 'IP', 'C', 'BK', 'CVS', 'TGT', 'UNH', 'AAPL', 'IBM', 'MSCI', 'GM', 'ABC', 'GS', 'LEA', 'LUV', 'F', 'BSX', 'HD', 'USB', 'NTRS', 'DAL', 'JPM', 'CBOE', 'UAL', 'IT', 'DIS', 'PNC', 'NDAQ', 'INTC', 'GOOG', 'GE', 'PG', 'MSFT', 'WMT', 'T', 'MO', 'KKR', 'SBUX', 'MS', 'BMY', 'BAC', 'ORCL', 'LNG', 'ADP', 'AAL', 'MAR', 'DE', 'ICE', 'FE', 'RF', 'COO', 'JNJ', 'VZ', 'ABT', 'WFC', 'BLK', 'CMS', 'CME', 'LLY', 'CE', 'ABBV', 'NKE']"
2019-01-20,"['PCG', 'NFLX', 'TSLA', 'GE', 'ET', 'LEA', 'PG', 'MGM', 'AMZN', 'AMD', 'EA', 'GS', 'F', 'BAC', 'NOW', 'CRM', 'C', 'IP', 'FB', 'EBAY', 'TGT', 'DFS', 'AAPL', 'LUV', 'MS', 'KKR', 'RF', 'LNG', 'MSCI', 'GOOG', 'AIG', 'AAL', 'BSX', 'NTRS', 'HD', 'OKE', 'INTC', 'USB', 'WMT', 'NKE', 'T', 'TSN', 'BK', 'GM', 'BMY', 'CME', 'ORCL', 'WY', 'POOL', 'CNC', 'SO', 'QCOM', 'UAL', 'DE', 'CMS', 'MA', 'PM', 'IBM', 'DIS', 'CAR', 'DD', 'BLK', 'PNC', 'CVX', 'COO', 'LLY', 'MSFT', 'WFC', 'UNH', 'CI', 'JPM', 'CMCSA', 'NDAQ', 'ICE', 'CVS', 'VZ', 'DAL', 'ABC', 'MO', 'MAR', 'FE', 'IT', 'FDX']"
2019-01-27,"['PCG', 'NFLX', 'GS', 'BAC', 'C', 'GE', 'BMY', 'LEA', 'AMZN', 'ET', 'AMD', 'CRM', 'OKE', 'GM', 'MO', 'TSLA', 'ABT', 'T', 'AAPL', 'RF', 'GIS', 'FB', 'DAL', 'LUV', 'IBM', 'MS', 'MSCI', 'IP', 'EBAY', 'PNC', 'COO', 'CAT', 'FDX', 'ORCL', 'XOM', 'CNC', 'BSX', 'INTC', 'BLK', 'CE', 'JPM', 'F', 'WFC', 'BX', 'MSFT', 'PSA', 'DD', 'ABC', 'WMT', 'CMCSA', 'GOOG', 'CVS', 'MA', 'NTRS', 'POOL', 'PM', 'DIS', 'SO', 'CMS', 'KO', 'USB', 'UAL', 'AXP', 'CME', 'HD', 'UPS', 'ICE', 'VZ', 'ADP', 'V', 'PG', 'AAL', 'SBUX', 'MAR', 'IT']"
2019-02-03,"['PCG', 'LEA', 'CBOE', 'GM', 'TSLA', 'BAC', 'MO', 'GE', 'AMD', 'PG', 'NFLX', 'CAR', 'ET', 'C', 'FB', 'AAPL', 'GS', 'EBAY', 'PFE', 'DD', 'QCOM', 'CVS', 'CAT', 'UNH', 'TSN', 'IP', 'VZ', 'IBM', 'LLY', 'CNC', 'UAL', 'MGM', 'CRM', 'LNG', 'WFC', 'ICE', 'MSCI', 'FE', 'ABC', 'AMZN', 'COO', 'USB', 'DAL', 'MSFT', 'UPS', 'EA', 'RF', 'DE', 'MCD', 'BSX', 'MAR', 'AAL', 'CME', 'AIG', 'POOL', 'NTRS', 'BX', 'CE', 'BMY', 'INTC', 'MA', 'PSA', 'WMT', 'T', 'MS', 'XOM', 'JNJ', 'CMS', 'HD', 'CI', 'FDX', 'CVX', 'CMCSA', 'IT', 'DIS', 'DFS', 'V', 'GOOG', 'KR', 'ADP', 'ABT', 'JPM', 'SBUX', 'BLK', 'DUK']"
2019-02-10,"['TSLA', 'AMD', 'GS', 'KKR', 'GE', 'C', 'FB', 'BAC', 'ET', 'F', 'AAL', 'TSN', 'BK', 'MSCI', 'WFC', 'LEA', 'CI', 'OKE', 'AAPL', 'BMY', 'FDX', 'PSA', 'VZ', 'ADP', 'MS', 'COO', 'DUK', 'IBM', 'MSFT', 'NTRS', 'JPM', 'NFLX', 'GOOG', 'PM', 'FE', 'ABC', 'USB', 'CSCO', 'UAL', 'CME', 'DIS', 'CE', 'MGM', 'NKE', 'PG', 'WMT', 'IT', 'ICE', 'GM', 'AMZN', 'PNC', 'RF', 'T', 'NDAQ', 'HON', 'CMCSA', 'MA', 'CVS', 'LLY', 'LNG', 'MO', 'CRM', 'EA', 'SO', 'PFE', 'KO', 'IP', 'INTC', 'CVX', 'DAL', 'CMS', 'MAR', 'HD']"
